outcome_sel,,all,all,team_win,team_win,draw,draw
direction,,K YES + PM NO,PM YES + K NO,K YES + PM NO,PM YES + K NO,K YES + PM NO,PM YES + K NO
cell,route,,,,,,
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,73.66,81.23,71.41,83.0,81.29,75.53
Premier League 2025/26 | post_0_to_105m  F=60s,taker/taker,1.39,2.12,1.24,2.17,1.85,1.96
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,76.67,81.05,74.3,82.71,84.71,75.52
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,2.13,2.46,1.87,2.76,2.97,1.45
World Cup 2026/27 | post_0_to_105m  F=5s,maker/maker,73.06,76.9,68.83,80.42,83.17,67.45
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,0.73,0.67,0.63,0.77,1.0,0.42
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,67.06,84.65,62.66,87.56,84.7,73.6
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,0.1,0.0,0.04,0.0,0.31,0.0
