combo,phase,source,freshness,other_state,horizon,triggers,same_second,eligible,censored,followed,follow_pct
Serie A 2025/26,pre_last_hour,KALSHI,60,all,10,66124,3597,65711,413,25432,38.702804705452664
Serie A 2025/26,pre_last_hour,KALSHI,60,all,30,66124,3597,64913,1211,39104,60.240629765994484
Serie A 2025/26,pre_last_hour,KALSHI,60,all,60,66124,3597,63759,2365,47656,74.74395771577346
Serie A 2025/26,pre_last_hour,KALSHI,60,all,300,66124,3597,55690,10434,52964,95.10504578919016
Serie A 2025/26,pre_last_hour,POLYMARKET,60,all,1,71932,3597,71889,43,3568,4.96320716660407
Serie A 2025/26,pre_last_hour,POLYMARKET,60,all,5,71932,3597,71728,204,14237,19.848594691055098
Serie A 2025/26,pre_last_hour,POLYMARKET,60,all,10,71932,3597,71529,403,23147,32.36030141620881
Serie A 2025/26,pre_last_hour,POLYMARKET,60,all,30,71932,3597,70326,1606,39855,56.67178568381537
Serie A 2025/26,pre_last_hour,POLYMARKET,60,all,60,71932,3597,69067,2865,49102,71.09328622931356
Serie A 2025/26,pre_last_hour,POLYMARKET,60,all,300,71932,3597,60140,11792,55822,92.82008646491519
UEFA Champions League 2025/26,pre_last_hour,KALSHI,60,all,1,172664,23581,172573,91,23378,13.546730948642024
UEFA Champions League 2025/26,pre_last_hour,KALSHI,60,all,5,172664,23581,172188,476,80896,46.98120658814784
UEFA Champions League 2025/26,pre_last_hour,KALSHI,60,all,10,172664,23581,171731,933,107898,62.82965801165777
UEFA Champions League 2025/26,pre_last_hour,KALSHI,60,all,30,172664,23581,169829,2835,140524,82.74440761000771
UEFA Champions League 2025/26,pre_last_hour,KALSHI,60,all,60,172664,23581,167034,5630,152152,91.09043667756265
UEFA Champions League 2025/26,pre_last_hour,KALSHI,60,all,300,172664,23581,147382,25282,145947,99.02633971584046
UEFA Champions League 2025/26,pre_last_hour,POLYMARKET,60,all,1,93874,23581,93835,39,23485,25.027974636329727
UEFA Champions League 2025/26,pre_last_hour,POLYMARKET,60,all,5,93874,23581,93646,228,54299,57.983256092091494
UEFA Champions League 2025/26,pre_last_hour,POLYMARKET,60,all,10,93874,23581,93383,491,67001,71.74860520651511
UEFA Champions League 2025/26,pre_last_hour,POLYMARKET,60,all,30,93874,23581,92287,1587,81391,88.19335334337447
UEFA Champions League 2025/26,pre_last_hour,POLYMARKET,60,all,60,93874,23581,90861,3013,85584,94.19222768844719
UEFA Champions League 2025/26,pre_last_hour,POLYMARKET,60,all,300,93874,23581,80191,13683,79815,99.53111945230762
UEFA Champions League 2026/27,pre_last_hour,KALSHI,60,all,1,6712,199,6706,6,210,3.1315240083507305
UEFA Champions League 2026/27,pre_last_hour,KALSHI,60,all,5,6712,199,6685,27,906,13.552729992520568
UEFA Champions League 2026/27,pre_last_hour,KALSHI,60,all,10,6712,199,6658,54,1384,20.78702313006909
UEFA Champions League 2026/27,pre_last_hour,KALSHI,60,all,30,6712,199,6554,158,2551,38.922795239548364
UEFA Champions League 2026/27,pre_last_hour,KALSHI,60,all,60,6712,199,6406,306,3492,54.51139556665626
UEFA Champions League 2026/27,pre_last_hour,KALSHI,60,all,300,6712,199,5473,1239,4740,86.60697971861867
UEFA Champions League 2026/27,pre_last_hour,POLYMARKET,60,all,1,9917,199,9913,4,200,2.0175527085645113
UEFA Champions League 2026/27,pre_last_hour,POLYMARKET,60,all,5,9917,199,9883,34,846,8.560153799453607
UEFA Champions League 2026/27,pre_last_hour,POLYMARKET,60,all,10,9917,199,9844,73,1453,14.760260056887445
