cell,route,direction,n,n_lot,pos_0c,pos_0c_lot,pos_1c,fresh_time,open_time_0c,edge_sum,fixtures,pos_pct,open_pct_of_fresh,mean_net_c,outcome_sel,panel
World Cup 2026/27 | post_0_to_105m  F=5s,taker/maker,PM YES + K NO,1354573.0,438262.0,221798.0,98578.0,16385.0,1426909.0,240181.0,-13055.688871444629,104,16.374016018331975,16.83225769828349,-0.9638232026952132,all,World Cup 2026/27 | post_0_to_105m  F=5s | all
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,K YES + PM NO,1038044.0,313065.0,7438.0,4572.0,2599.0,1073925.0,7843.0,-29383.37661026331,104,0.7165399539903896,0.7303117070558931,-2.8306484706104276,all,World Cup 2026/27 | post_0_to_105m  F=5s | all
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,PM YES + K NO,800153.0,197550.0,6405.0,3807.0,2389.0,1061051.0,7101.0,-22158.09623073178,104,0.8004719097472608,0.6692421005210871,-2.769232413142459,all,World Cup 2026/27 | post_0_to_105m  F=5s | all
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,K YES + PM NO,202971.0,24949.0,127139.0,14152.0,17253.0,459201.0,307959.0,641.6695614077157,104,62.63899768932507,67.06409611477326,0.31613854265275126,all,World Cup 2026/27 | pre_last_hour  F=10s | all
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,PM YES + K NO,391773.0,93953.0,336886.0,82807.0,104780.0,455020.0,385153.0,3116.891088051309,104,85.99010141076593,84.64529031690914,0.7955859867962592,all,World Cup 2026/27 | pre_last_hour  F=10s | all
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,K YES + PM NO,741101.0,194312.0,14209.0,2845.0,0.0,899439.0,18597.0,-11138.781761707372,104,1.9172825296417089,2.0676221511408777,-1.5030045515668407,all,World Cup 2026/27 | pre_last_hour  F=10s | all
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,PM YES + K NO,87803.0,9510.0,7498.0,930.0,124.0,255340.0,21860.0,-1009.3146964444301,104,8.539571540835734,8.561134174042452,-1.1495218801685934,all,World Cup 2026/27 | pre_last_hour  F=10s | all
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,K YES + PM NO,87803.0,9510.0,3600.0,702.0,141.0,255340.0,11681.0,-1295.93550345557,104,4.100087696320172,4.5746847340800505,-1.4759581147062968,all,World Cup 2026/27 | pre_last_hour  F=10s | all
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,PM YES + K NO,741101.0,194312.0,83892.0,29736.0,2105.0,899439.0,96473.0,-7167.44702089262,104,11.319914559553961,10.72590803823272,-0.9671349817221431,all,World Cup 2026/27 | pre_last_hour  F=10s | all
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,K YES + PM NO,391773.0,93953.0,346.0,145.0,0.0,455020.0,441.0,-12963.326625051317,104,0.08831644855566871,0.09691881675530746,-3.3088871936175583,all,World Cup 2026/27 | pre_last_hour  F=10s | all
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,PM YES + K NO,202971.0,24949.0,0.0,0.0,0.0,459201.0,0.0,-5986.219310007711,104,0.0,0.0,-2.9492978356551975,all,World Cup 2026/27 | pre_last_hour  F=10s | all
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,K YES + PM NO,361607.0,49454.0,246557.0,32219.0,110973.0,2457012.0,1754555.0,2926.907757448079,339,68.18369113429773,71.41011114312832,0.8094167860268411,team_win,Premier League 2025/26 | post_0_to_105m  F=60s | team_win
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,PM YES + K NO,687136.0,72715.0,558777.0,56436.0,277200.0,2861866.0,2375363.0,8218.312429031399,339,81.31970963535603,83.00049687860997,1.1960241391851685,team_win,Premier League 2025/26 | post_0_to_105m  F=60s | team_win
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,K YES + PM NO,761687.0,91336.0,78310.0,11867.0,22494.0,3204500.0,349329.0,-12249.777307972237,339,10.281125974317534,10.901201435481354,-1.6082429276031018,team_win,Premier League 2025/26 | post_0_to_105m  F=60s | team_win
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,PM YES + K NO,323520.0,42435.0,66253.0,9134.0,24162.0,2273014.0,435560.0,-3399.619405384937,339,20.478795746785362,19.162222494010155,-1.050822021941437,team_win,Premier League 2025/26 | post_0_to_105m  F=60s | team_win
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,K YES + PM NO,323520.0,42435.0,63797.0,10094.0,22739.0,2273014.0,378917.0,-3653.749016615063,339,19.719646389713155,16.6702448819057,-1.1293734596362088,team_win,Premier League 2025/26 | post_0_to_105m  F=60s | team_win
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,PM YES + K NO,761687.0,91336.0,145748.0,21997.0,49619.0,3204500.0,648950.0,-6517.0554422277555,339,19.134893991889058,20.251209237010453,-0.855608070273978,team_win,Premier League 2025/26 | post_0_to_105m  F=60s | team_win
Premier League 2025/26 | post_0_to_105m  F=60s,taker/taker,K YES + PM NO,687136.0,72715.0,10821.0,2213.0,5802.0,2861866.0,35584.0,-24907.98547463143,339,1.574797420015834,1.2433845609822403,-3.6248989246133854,team_win,Premier League 2025/26 | post_0_to_105m  F=60s | team_win
Premier League 2025/26 | post_0_to_105m  F=60s,taker/taker,PM YES + K NO,361607.0,49454.0,13526.0,2760.0,7167.0,2457012.0,53348.0,-11115.736339148074,339,3.740524934528369,2.171255166844932,-3.0739826217822315,team_win,Premier League 2025/26 | post_0_to_105m  F=60s | team_win
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,K YES + PM NO,221864.0,35060.0,159065.0,23911.0,72762.0,1244684.0,924837.0,1959.4613374462815,189,71.69482205314968,74.30295560961657,0.8831812900904524,team_win,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,PM YES + K NO,403218.0,54444.0,328855.0,43562.0,163975.0,1378501.0,1140091.0,5090.5230613402655,189,81.55761895550297,82.70512680077853,1.2624741607121372,team_win,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/taker,K YES + PM NO,442613.0,67903.0,50288.0,8908.0,16882.0,1578225.0,226856.0,-6547.386730528806,189,11.361618388976375,14.374122827860413,-1.4792576653936522,team_win,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/taker,PM YES + K NO,202382.0,31375.0,43838.0,7411.0,16940.0,1165450.0,260003.0,-1897.7400505236474,189,21.661017284145824,22.309236775494444,-0.9377019945072423,team_win,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/maker,K YES + PM NO,202382.0,31375.0,39665.0,6765.0,13475.0,1165450.0,213604.0,-2373.794843476353,189,19.599075016552856,18.32802780042044,-1.1729278510323808,team_win,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/maker,PM YES + K NO,442613.0,67903.0,87927.0,17279.0,28859.0,1578225.0,352683.0,-3976.534422871187,189,19.865435493309054,22.346813667252768,-0.8984224193304731,team_win,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,K YES + PM NO,403218.0,54444.0,6900.0,1445.0,3864.0,1378501.0,25834.0,-14545.214250240284,189,1.7112331294733867,1.8740646542875194,-3.60728297105791,team_win,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,PM YES + K NO,221864.0,35060.0,8430.0,1796.0,4820.0,1244684.0,34396.0,-6864.620638646279,189,3.799624995492734,2.763432324991725,-3.0940669232711384,team_win,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win
