combo,phase,source,all,fresh,no_prior_print,stale
UEFA Champions League Women 2026/27,post_105_to_135m,KALSHI,36.0,48.4,,30.0
UEFA Champions League Women 2026/27,post_105_to_135m,POLYMARKET,51.2,75.7,,4.5
UEFA Champions League Women 2026/27,pre_24h_to_1h,KALSHI,58.7,85.6,19.6,46.7
UEFA Champions League Women 2026/27,pre_24h_to_1h,POLYMARKET,23.5,45.0,12.4,7.8
UEFA Champions League Women 2026/27,pre_last_hour,KALSHI,55.8,85.1,66.7,44.2
UEFA Champions League Women 2026/27,pre_last_hour,POLYMARKET,16.8,32.2,0.0,8.5
World Cup 2026/27,post_0_to_105m,KALSHI,99.9,99.9,,69.0
World Cup 2026/27,post_0_to_105m,POLYMARKET,100.0,100.0,,80.6
World Cup 2026/27,post_105_to_135m,KALSHI,98.7,99.4,,43.1
World Cup 2026/27,post_105_to_135m,POLYMARKET,79.0,96.6,,0.3
World Cup 2026/27,pre_24h_to_1h,KALSHI,90.2,93.5,60.8,59.2
World Cup 2026/27,pre_24h_to_1h,POLYMARKET,93.2,96.5,38.8,47.6
World Cup 2026/27,pre_last_hour,KALSHI,99.8,99.8,,89.1
World Cup 2026/27,pre_last_hour,POLYMARKET,100.0,100.0,,100.0
