cell,route,scenario,n,positive,positive_1c,positive_pct
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/maker,fees_plus_PM_taker_rebate_50pct,66683.0,21483.0,7139.0,32.21660693130183
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/maker,fees_PM_fee_free,66683.0,26022.0,8816.0,39.023439257381945
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,no_fees,53997.0,40227.0,20281.0,74.49858325462526
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,fees_K_maker_free,53997.0,40201.0,20247.0,74.45043243143138
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,fees_K_maker_charged,53997.0,39410.0,19180.0,72.98553623349446
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,fees_plus_PM_maker_rebate,53997.0,39635.0,19509.0,73.40222604959534
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,fees_plus_PM_taker_rebate_3pct,53997.0,39410.0,19180.0,72.98553623349446
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,fees_plus_PM_taker_rebate_50pct,53997.0,39410.0,19180.0,72.98553623349446
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,fees_PM_fee_free,53997.0,39410.0,19180.0,72.98553623349446
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,no_fees,53997.0,7492.0,3111.0,13.874844898790673
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,fees_K_maker_free,53997.0,2254.0,1348.0,4.17430597996185
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,fees_K_maker_charged,53997.0,2254.0,1348.0,4.17430597996185
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,fees_plus_PM_maker_rebate,53997.0,2254.0,1348.0,4.17430597996185
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,fees_plus_PM_taker_rebate_3pct,53997.0,2270.0,1360.0,4.203937255773469
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,fees_plus_PM_taker_rebate_50pct,53997.0,2671.0,1492.0,4.946571105802175
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,fees_PM_fee_free,53997.0,3353.0,1753.0,6.209604237272441
World Cup 2026/27 | post_0_to_105m  F=5s,maker/taker,no_fees,606910.0,130051.0,22419.0,21.42838312105584
World Cup 2026/27 | post_0_to_105m  F=5s,maker/taker,fees_K_maker_free,606910.0,47646.0,7410.0,7.850587401756439
World Cup 2026/27 | post_0_to_105m  F=5s,maker/taker,fees_K_maker_charged,606910.0,47646.0,7410.0,7.850587401756439
World Cup 2026/27 | post_0_to_105m  F=5s,maker/taker,fees_plus_PM_maker_rebate,606910.0,53185.0,8053.0,8.763243314494735
World Cup 2026/27 | post_0_to_105m  F=5s,maker/taker,fees_plus_PM_taker_rebate_3pct,606910.0,47646.0,7410.0,7.850587401756439
World Cup 2026/27 | post_0_to_105m  F=5s,maker/taker,fees_plus_PM_taker_rebate_50pct,606910.0,47646.0,7410.0,7.850587401756439
World Cup 2026/27 | post_0_to_105m  F=5s,maker/taker,fees_PM_fee_free,606910.0,47646.0,7410.0,7.850587401756439
World Cup 2026/27 | post_0_to_105m  F=5s,taker/maker,no_fees,606910.0,360171.0,95776.0,59.345042922344334
World Cup 2026/27 | post_0_to_105m  F=5s,taker/maker,fees_K_maker_free,606910.0,170041.0,20412.0,28.017498475886047
World Cup 2026/27 | post_0_to_105m  F=5s,taker/maker,fees_K_maker_charged,606910.0,136875.0,15085.0,22.552767296633768
World Cup 2026/27 | post_0_to_105m  F=5s,taker/maker,fees_plus_PM_maker_rebate,606910.0,136875.0,15085.0,22.552767296633768
World Cup 2026/27 | post_0_to_105m  F=5s,taker/maker,fees_plus_PM_taker_rebate_3pct,606910.0,138182.0,15388.0,22.76812047914847
World Cup 2026/27 | post_0_to_105m  F=5s,taker/maker,fees_plus_PM_taker_rebate_50pct,606910.0,197122.0,26027.0,32.4796098268277
World Cup 2026/27 | post_0_to_105m  F=5s,taker/maker,fees_PM_fee_free,606910.0,251712.0,42299.0,41.474353693298845
World Cup 2026/27 | post_0_to_105m  F=5s,maker/maker,no_fees,510615.0,384345.0,115939.0,75.27099673922623
World Cup 2026/27 | post_0_to_105m  F=5s,maker/maker,fees_K_maker_free,510615.0,384014.0,115678.0,75.20617294830744
World Cup 2026/27 | post_0_to_105m  F=5s,maker/maker,fees_K_maker_charged,510615.0,369908.0,103348.0,72.44362190691616
World Cup 2026/27 | post_0_to_105m  F=5s,maker/maker,fees_plus_PM_maker_rebate,510615.0,375752.0,107907.0,73.58812412482986
World Cup 2026/27 | post_0_to_105m  F=5s,maker/maker,fees_plus_PM_taker_rebate_3pct,510615.0,369908.0,103348.0,72.44362190691616
World Cup 2026/27 | post_0_to_105m  F=5s,maker/maker,fees_plus_PM_taker_rebate_50pct,510615.0,369908.0,103348.0,72.44362190691616
World Cup 2026/27 | post_0_to_105m  F=5s,maker/maker,fees_PM_fee_free,510615.0,369908.0,103348.0,72.44362190691616
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,no_fees,510615.0,67360.0,14688.0,13.191935215377535
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,fees_K_maker_free,510615.0,8379.0,3269.0,1.6409623689080814
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,fees_K_maker_charged,510615.0,8379.0,3269.0,1.6409623689080814
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,fees_plus_PM_maker_rebate,510615.0,8379.0,3269.0,1.6409623689080814
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,fees_plus_PM_taker_rebate_3pct,510615.0,8506.0,3304.0,1.6658343370249602
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,fees_plus_PM_taker_rebate_50pct,510615.0,11962.0,3829.0,2.3426652174338787
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,fees_PM_fee_free,510615.0,16611.0,4786.0,3.253135924326547
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,no_fees,179942.0,15357.0,520.0,8.534416645363507
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,fees_K_maker_free,179942.0,2812.0,16.0,1.5627257671916506
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,fees_K_maker_charged,179942.0,2812.0,16.0,1.5627257671916506
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,fees_plus_PM_maker_rebate,179942.0,3477.0,18.0,1.932289293216703
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,fees_plus_PM_taker_rebate_3pct,179942.0,2812.0,16.0,1.5627257671916506
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,fees_plus_PM_taker_rebate_50pct,179942.0,2812.0,16.0,1.5627257671916506
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,fees_PM_fee_free,179942.0,2812.0,16.0,1.5627257671916506
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,no_fees,179942.0,130593.0,41058.0,72.5750519611875
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,fees_K_maker_free,179942.0,35206.0,1480.0,19.56519322892932
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,fees_K_maker_charged,179942.0,26003.0,803.0,14.450767469517956
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,fees_plus_PM_maker_rebate,179942.0,26003.0,803.0,14.450767469517956
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,fees_plus_PM_taker_rebate_3pct,179942.0,26223.0,805.0,14.573029087150305
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,fees_plus_PM_taker_rebate_50pct,179942.0,47907.0,2957.0,26.623578708695025
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,fees_PM_fee_free,179942.0,79549.0,8970.0,44.208133731980304
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,no_fees,85654.0,69853.0,21499.0,81.55252527611087
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,fees_K_maker_free,85654.0,69850.0,21499.0,81.54902281271161
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,fees_K_maker_charged,85654.0,68731.0,20393.0,80.24260396478857
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,fees_plus_PM_maker_rebate,85654.0,69482.0,20925.0,81.11938730240269
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,fees_plus_PM_taker_rebate_3pct,85654.0,68731.0,20393.0,80.24260396478857
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,fees_plus_PM_taker_rebate_50pct,85654.0,68731.0,20393.0,80.24260396478857
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,fees_PM_fee_free,85654.0,68731.0,20393.0,80.24260396478857
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,no_fees,85654.0,6286.0,750.0,7.338828309244168
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,fees_K_maker_free,85654.0,112.0,0.0,0.13075863357227918
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,fees_K_maker_charged,85654.0,112.0,0.0,0.13075863357227918
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,fees_plus_PM_maker_rebate,85654.0,112.0,0.0,0.13075863357227918
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,fees_plus_PM_taker_rebate_3pct,85654.0,112.0,0.0,0.13075863357227918
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,fees_plus_PM_taker_rebate_50pct,85654.0,161.0,0.0,0.18796553576015132
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,fees_PM_fee_free,85654.0,351.0,0.0,0.4097882177131249
