combo,phase,source,triggers,eligible,followed,same_second_pct,censored_pct
UEFA Champions League Women 2025/26,pre_24h_to_1h,POLYMARKET,923,922,0,0.0,0.1
UEFA Champions League Women 2025/26,pre_last_hour,KALSHI,0,0,0,,
UEFA Champions League Women 2025/26,pre_last_hour,POLYMARKET,227,217,0,0.0,4.4
UEFA Champions League Women 2026/27,post_0_to_105m,KALSHI,5027,4918,1584,1.1,2.2
UEFA Champions League Women 2026/27,post_0_to_105m,POLYMARKET,1480,1460,855,3.8,1.4
UEFA Champions League Women 2026/27,post_105_to_135m,KALSHI,1289,1289,464,1.9,0.0
UEFA Champions League Women 2026/27,post_105_to_135m,POLYMARKET,328,326,167,7.3,0.6
UEFA Champions League Women 2026/27,pre_24h_to_1h,KALSHI,686,685,402,2.5,0.1
UEFA Champions League Women 2026/27,pre_24h_to_1h,POLYMARKET,1140,1140,268,1.5,0.0
UEFA Champions League Women 2026/27,pre_last_hour,KALSHI,267,242,135,0.0,9.4
UEFA Champions League Women 2026/27,pre_last_hour,POLYMARKET,346,333,56,0.0,3.8
World Cup 2026/27,post_0_to_105m,KALSHI,1613722,1584262,1582919,39.8,1.8
World Cup 2026/27,post_0_to_105m,POLYMARKET,734890,721087,720993,87.3,1.9
World Cup 2026/27,post_105_to_135m,KALSHI,225124,224683,221864,50.7,0.2
World Cup 2026/27,post_105_to_135m,POLYMARKET,163269,161228,127417,69.9,1.3
World Cup 2026/27,pre_24h_to_1h,KALSHI,3815826,3804736,3433493,11.1,0.3
World Cup 2026/27,pre_24h_to_1h,POLYMARKET,1423441,1419782,1323191,29.8,0.3
World Cup 2026/27,pre_last_hour,KALSHI,811900,795303,793510,28.5,2.0
World Cup 2026/27,pre_last_hour,POLYMARKET,288778,281630,281626,80.1,2.5
