combo,phase,freshness,series,clock_pct
World Cup 2026/27,post_0_to_105m,60,Only Kalshi fresh,0.7237484737484736
Bundesliga 2025/26,post_105_to_135m,60,Only PM fresh,21.17845117845118
Bundesliga 2025/26,pre_24h_to_1h,60,Only PM fresh,5.708638559508125
Bundesliga 2025/26,pre_last_hour,60,Only PM fresh,18.986734006734007
La Liga 2025/26,post_105_to_135m,60,Only PM fresh,22.672894620811288
La Liga 2025/26,pre_24h_to_1h,60,Only PM fresh,7.395658404263477
La Liga 2025/26,pre_last_hour,60,Only PM fresh,14.821263227513228
Ligue 1 2025/26,post_105_to_135m,60,Only PM fresh,19.581201705302423
Ligue 1 2025/26,pre_24h_to_1h,60,Only PM fresh,4.364588039713157
Ligue 1 2025/26,pre_last_hour,60,Only PM fresh,16.770516919797494
Premier League 2025/26,post_105_to_135m,60,Only PM fresh,24.62766306129138
Premier League 2025/26,pre_24h_to_1h,60,Only PM fresh,8.84065927540982
Premier League 2025/26,pre_last_hour,60,Only PM fresh,9.97823118103354
Serie A 2025/26,post_105_to_135m,60,Only PM fresh,21.070136228182204
Serie A 2025/26,pre_24h_to_1h,60,Only PM fresh,5.945309752531142
Serie A 2025/26,pre_last_hour,60,Only PM fresh,16.41304810557684
UEFA Champions League 2025/26,post_105_to_135m,60,Only PM fresh,26.12198706643151
UEFA Champions League 2025/26,pre_24h_to_1h,60,Only PM fresh,10.491882439144918
UEFA Champions League 2025/26,pre_last_hour,60,Only PM fresh,8.48143249069175
UEFA Champions League 2026/27,post_105_to_135m,60,Only PM fresh,12.647640791476409
UEFA Champions League 2026/27,pre_24h_to_1h,60,Only PM fresh,3.684760549709925
UEFA Champions League 2026/27,pre_last_hour,60,Only PM fresh,19.755327245053277
UEFA Champions League Women 2025/26,post_105_to_135m,60,Only PM fresh,17.49074074074074
UEFA Champions League Women 2025/26,pre_24h_to_1h,60,Only PM fresh,4.332427536231884
UEFA Champions League Women 2025/26,pre_last_hour,60,Only PM fresh,22.291666666666668
UEFA Champions League Women 2026/27,post_105_to_135m,60,Only PM fresh,4.419067215363512
UEFA Champions League Women 2026/27,pre_24h_to_1h,60,Only PM fresh,0.4830768771992604
UEFA Champions League Women 2026/27,pre_last_hour,60,Only PM fresh,3.72085048010974
World Cup 2026/27,post_105_to_135m,60,Only PM fresh,28.290064102564106
World Cup 2026/27,pre_24h_to_1h,60,Only PM fresh,8.917843428712994
World Cup 2026/27,pre_last_hour,60,Only PM fresh,0.0049857549857549
Bundesliga 2025/26,post_0_to_105m,60,Only PM fresh,9.970024050024051
La Liga 2025/26,post_0_to_105m,60,Only PM fresh,5.953341521793903
Ligue 1 2025/26,post_0_to_105m,60,Only PM fresh,9.835959803585702
Premier League 2025/26,post_0_to_105m,60,Only PM fresh,2.6258993928610446
Serie A 2025/26,post_0_to_105m,60,Only PM fresh,7.52665267895153
UEFA Champions League 2025/26,post_0_to_105m,60,Only PM fresh,4.425771954872484
UEFA Champions League 2026/27,post_0_to_105m,60,Only PM fresh,12.94143654417627
UEFA Champions League Women 2025/26,post_0_to_105m,60,Only PM fresh,31.916666666666668
UEFA Champions League Women 2026/27,post_0_to_105m,60,Only PM fresh,3.1377621007250642
World Cup 2026/27,post_0_to_105m,60,Only PM fresh,0.07595645095645086
Bundesliga 2025/26,post_105_to_135m,60,Neither fresh,42.67986531986532
Bundesliga 2025/26,pre_24h_to_1h,60,Neither fresh,88.61195286195286
Bundesliga 2025/26,pre_last_hour,60,Neither fresh,49.75151515151515
La Liga 2025/26,post_105_to_135m,60,Neither fresh,34.28455687830688
La Liga 2025/26,pre_24h_to_1h,60,Neither fresh,80.54810309792194
La Liga 2025/26,pre_last_hour,60,Neither fresh,33.92779982363316
Ligue 1 2025/26,post_105_to_135m,60,Neither fresh,47.47055688782307
Ligue 1 2025/26,pre_24h_to_1h,60,Neither fresh,91.58806288302692
Ligue 1 2025/26,pre_last_hour,60,Neither fresh,55.072608579802825
Premier League 2025/26,post_105_to_135m,60,Neither fresh,28.035507483885063
Premier League 2025/26,pre_24h_to_1h,60,Neither fresh,68.69123808302338
Premier League 2025/26,pre_last_hour,60,Neither fresh,16.84789140172621
Serie A 2025/26,post_105_to_135m,60,Neither fresh,40.243561089825455
Serie A 2025/26,pre_24h_to_1h,60,Neither fresh,86.33269823421622
Serie A 2025/26,pre_last_hour,60,Neither fresh,41.85334184759472
UEFA Champions League 2025/26,post_105_to_135m,60,Neither fresh,37.76464824612973
UEFA Champions League 2025/26,pre_24h_to_1h,60,Neither fresh,62.632720309451386
UEFA Champions League 2025/26,pre_last_hour,60,Neither fresh,17.37747403488144
UEFA Champions League 2026/27,post_105_to_135m,60,Neither fresh,57.84474885844749
UEFA Champions League 2026/27,pre_24h_to_1h,60,Neither fresh,92.92285421216332
UEFA Champions League 2026/27,pre_last_hour,60,Neither fresh,53.04020801623541
UEFA Champions League Women 2025/26,post_105_to_135m,60,Neither fresh,82.50925925925925
UEFA Champions League Women 2025/26,pre_24h_to_1h,60,Neither fresh,95.66757246376812
UEFA Champions League Women 2025/26,pre_last_hour,60,Neither fresh,77.70833333333333
UEFA Champions League Women 2026/27,post_105_to_135m,60,Neither fresh,78.82578875171468
UEFA Champions League Women 2026/27,pre_24h_to_1h,60,Neither fresh,99.07297071628794
UEFA Champions League Women 2026/27,pre_last_hour,60,Neither fresh,92.36968449931412
World Cup 2026/27,post_105_to_135m,60,Neither fresh,9.977920227920228
World Cup 2026/27,pre_24h_to_1h,60,Neither fresh,6.197219899665551
