combo,phase,source,freshness,other_state,horizon,triggers,same_second,eligible,censored,followed,follow_pct
Bundesliga 2025/26,pre_24h_to_1h,KALSHI,60,all,1,80776,731,80770,6,814,1.0077999257149932
Bundesliga 2025/26,pre_24h_to_1h,KALSHI,60,all,5,80776,731,80750,26,13308,16.480495356037153
Bundesliga 2025/26,pre_24h_to_1h,KALSHI,60,all,10,80776,731,80734,42,15509,19.209998265910272
Bundesliga 2025/26,pre_24h_to_1h,KALSHI,60,all,30,80776,731,80616,160,21524,26.699414508286196
Bundesliga 2025/26,pre_24h_to_1h,KALSHI,60,all,60,80776,731,80460,316,27712,34.44195873726075
Bundesliga 2025/26,pre_24h_to_1h,KALSHI,60,all,300,80776,731,79332,1444,48314,60.901023546614226
Bundesliga 2025/26,pre_24h_to_1h,POLYMARKET,60,all,1,130302,731,130291,11,796,0.610940126332594
Bundesliga 2025/26,pre_24h_to_1h,POLYMARKET,60,all,5,130302,731,130257,45,3667,2.815203789431662
Bundesliga 2025/26,pre_24h_to_1h,POLYMARKET,60,all,10,130302,731,130201,101,7013,5.386287355703873
Bundesliga 2025/26,pre_24h_to_1h,POLYMARKET,60,all,30,130302,731,129999,303,17451,13.4239494149955
Bundesliga 2025/26,pre_24h_to_1h,POLYMARKET,60,all,60,130302,731,129736,566,28070,21.636245914780787
Bundesliga 2025/26,pre_24h_to_1h,POLYMARKET,60,all,300,130302,731,127539,2763,63022,49.41390476638519
La Liga 2025/26,pre_24h_to_1h,KALSHI,60,all,1,267286,5509,267271,15,5507,2.060455492739579
La Liga 2025/26,pre_24h_to_1h,KALSHI,60,all,5,267286,5509,267210,76,53250,19.928146401706524
La Liga 2025/26,pre_24h_to_1h,KALSHI,60,all,10,267286,5509,267123,163,67948,25.43697098340465
La Liga 2025/26,pre_24h_to_1h,KALSHI,60,all,30,267286,5509,266762,524,102920,38.581207218419415
La Liga 2025/26,pre_24h_to_1h,KALSHI,60,all,60,267286,5509,266221,1065,132077,49.611788701867994
La Liga 2025/26,pre_24h_to_1h,KALSHI,60,all,300,267286,5509,262069,5217,200996,76.69583201370631
La Liga 2025/26,pre_24h_to_1h,POLYMARKET,60,all,1,273592,5509,273576,16,5484,2.0045618036669883
La Liga 2025/26,pre_24h_to_1h,POLYMARKET,60,all,5,273592,5509,273512,80,23244,8.498347421685338
La Liga 2025/26,pre_24h_to_1h,POLYMARKET,60,all,10,273592,5509,273438,154,39842,14.570761927749619
