combo,phase,source,freshness,other_state,horizon,triggers,same_second,eligible,censored,followed,follow_pct
Bundesliga 2025/26,post_0_to_105m,KALSHI,60,all,1,318238,32231,318092,146,32413,10.189819297561712
Bundesliga 2025/26,post_0_to_105m,KALSHI,60,all,5,318238,32231,317613,625,116998,36.83665341154172
Bundesliga 2025/26,post_0_to_105m,KALSHI,60,all,10,318238,32231,317003,1235,165544,52.221587808317274
Bundesliga 2025/26,post_0_to_105m,KALSHI,60,all,30,318238,32231,314447,3791,236261,75.13539642610678
Bundesliga 2025/26,post_0_to_105m,KALSHI,60,all,60,318238,32231,310723,7515,267698,86.15326190851658
Bundesliga 2025/26,post_0_to_105m,KALSHI,60,all,300,318238,32231,281344,36894,276281,98.20042368061874
Bundesliga 2025/26,post_0_to_105m,POLYMARKET,60,all,1,220468,32231,220404,64,31882,14.465254714070525
Bundesliga 2025/26,post_0_to_105m,POLYMARKET,60,all,5,220468,32231,220178,290,95134,43.20776826022582
Bundesliga 2025/26,post_0_to_105m,POLYMARKET,60,all,10,220468,32231,219846,622,131107,59.63583599428691
Bundesliga 2025/26,post_0_to_105m,POLYMARKET,60,all,30,220468,32231,218458,2010,179138,82.0011169194994
Bundesliga 2025/26,post_0_to_105m,POLYMARKET,60,all,60,220468,32231,216331,4137,197165,91.14042832511291
Bundesliga 2025/26,post_0_to_105m,POLYMARKET,60,all,300,220468,32231,199358,21110,197628,99.13221440825049
La Liga 2025/26,post_0_to_105m,KALSHI,60,all,1,687143,85894,686867,276,86751,12.629956017686101
La Liga 2025/26,post_0_to_105m,KALSHI,60,all,5,687143,85894,685795,1348,301037,43.896062234341166
La Liga 2025/26,post_0_to_105m,KALSHI,60,all,10,687143,85894,684441,2702,413830,60.462479600140846
La Liga 2025/26,post_0_to_105m,KALSHI,60,all,30,687143,85894,678905,8238,558919,82.3265405321805
La Liga 2025/26,post_0_to_105m,KALSHI,60,all,60,687143,85894,670692,16451,612419,91.31151109600233
La Liga 2025/26,post_0_to_105m,KALSHI,60,all,300,687143,85894,604753,82390,599339,99.1047584716405
La Liga 2025/26,post_0_to_105m,POLYMARKET,60,all,1,360777,85894,360637,140,85747,23.776539844774664
La Liga 2025/26,post_0_to_105m,POLYMARKET,60,all,5,360777,85894,360177,600,213774,59.35248502819447
La Liga 2025/26,post_0_to_105m,POLYMARKET,60,all,10,360777,85894,359605,1172,269412,74.91886931494278
La Liga 2025/26,post_0_to_105m,POLYMARKET,60,all,30,360777,85894,357131,3646,326746,91.49191753166205
La Liga 2025/26,post_0_to_105m,POLYMARKET,60,all,60,360777,85894,353262,7515,340833,96.48164818180274
La Liga 2025/26,post_0_to_105m,POLYMARKET,60,all,300,360777,85894,322453,38324,321547,99.71902881970395
Ligue 1 2025/26,post_0_to_105m,KALSHI,60,all,1,266578,22377,266473,105,22459,8.428246013667426
Ligue 1 2025/26,post_0_to_105m,KALSHI,60,all,5,266578,22377,266051,527,85204,32.02543873167175
Ligue 1 2025/26,post_0_to_105m,KALSHI,60,all,10,266578,22377,265501,1077,124977,47.07213908798837
Ligue 1 2025/26,post_0_to_105m,KALSHI,60,all,30,266578,22377,263395,3183,185541,70.44211165739668
Ligue 1 2025/26,post_0_to_105m,KALSHI,60,all,60,266578,22377,260270,6308,213901,82.18427018096592
Ligue 1 2025/26,post_0_to_105m,KALSHI,60,all,300,266578,22377,235879,30699,226653,96.08867258212898
Ligue 1 2025/26,post_0_to_105m,POLYMARKET,60,all,1,171324,22377,171249,75,22100,12.905184847794732
Ligue 1 2025/26,post_0_to_105m,POLYMARKET,60,all,5,171324,22377,171056,268,67784,39.62678888784959
Ligue 1 2025/26,post_0_to_105m,POLYMARKET,60,all,10,171324,22377,170796,528,95183,55.72905688657814
Ligue 1 2025/26,post_0_to_105m,POLYMARKET,60,all,30,171324,22377,169701,1623,134401,79.19870831639177
Ligue 1 2025/26,post_0_to_105m,POLYMARKET,60,all,60,171324,22377,168022,3302,150276,89.43828784325862
Ligue 1 2025/26,post_0_to_105m,POLYMARKET,60,all,300,171324,22377,154999,16325,153168,98.8187020561423
Premier League 2025/26,post_0_to_105m,KALSHI,60,all,1,1037870,142643,1037494,376,142676,13.751983143998904
Premier League 2025/26,post_0_to_105m,KALSHI,60,all,5,1037870,142643,1035998,1872,492819,47.56949337740034
Premier League 2025/26,post_0_to_105m,KALSHI,60,all,10,1037870,142643,1034054,3816,669281,64.72398926941919
Premier League 2025/26,post_0_to_105m,KALSHI,60,all,30,1037870,142643,1026384,11486,879998,85.73769661257386
Premier League 2025/26,post_0_to_105m,KALSHI,60,all,60,1037870,142643,1014850,23020,949407,93.55146080701581
Premier League 2025/26,post_0_to_105m,KALSHI,60,all,300,1037870,142643,921949,115921,915745,99.32707774508134
Premier League 2025/26,post_0_to_105m,POLYMARKET,60,all,1,481261,142643,481056,205,142504,29.6231623761059
Premier League 2025/26,post_0_to_105m,POLYMARKET,60,all,5,481261,142643,480426,835,333449,69.40694300474995
Premier League 2025/26,post_0_to_105m,POLYMARKET,60,all,10,481261,142643,479663,1598,402880,83.99230292934831
Premier League 2025/26,post_0_to_105m,POLYMARKET,60,all,30,481261,142643,476376,4885,458630,96.27479134129344
Premier League 2025/26,post_0_to_105m,POLYMARKET,60,all,60,481261,142643,471414,9847,465850,98.81972109440959
Premier League 2025/26,post_0_to_105m,POLYMARKET,60,all,300,481261,142643,431024,50237,430713,99.92784624522068
Serie A 2025/26,post_0_to_105m,KALSHI,60,all,1,496423,48671,496237,186,48958,9.865850390035407
