combo,phase,source,freshness,other_state,horizon,triggers,same_second,eligible,censored,followed,follow_pct
Serie A 2025/26,post_0_to_105m,KALSHI,60,all,5,496423,48671,495533,890,181264,36.5796021657488
Serie A 2025/26,post_0_to_105m,KALSHI,60,all,10,496423,48671,494566,1857,260549,52.682351799355395
Serie A 2025/26,post_0_to_105m,KALSHI,60,all,30,496423,48671,490822,5601,375108,76.42444715192066
Serie A 2025/26,post_0_to_105m,KALSHI,60,all,60,496423,48671,485333,11090,424247,87.41359025658672
Serie A 2025/26,post_0_to_105m,KALSHI,60,all,300,496423,48671,440495,55928,434477,98.63380969136993
Serie A 2025/26,post_0_to_105m,POLYMARKET,60,all,1,298250,48671,298167,83,48264,16.186901971043074
Serie A 2025/26,post_0_to_105m,POLYMARKET,60,all,5,298250,48671,297820,430,144693,48.58404405345511
Serie A 2025/26,post_0_to_105m,POLYMARKET,60,all,10,298250,48671,297420,830,194989,65.5601506287405
Serie A 2025/26,post_0_to_105m,POLYMARKET,60,all,30,298250,48671,295571,2679,256365,86.7355051747296
Serie A 2025/26,post_0_to_105m,POLYMARKET,60,all,60,298250,48671,292772,5478,275498,94.09984561365158
Serie A 2025/26,post_0_to_105m,POLYMARKET,60,all,300,298250,48671,269696,28554,268472,99.54615567157096
UEFA Champions League 2025/26,post_0_to_105m,KALSHI,60,all,1,619607,104047,619423,184,104510,16.872153601012556
UEFA Champions League 2025/26,post_0_to_105m,KALSHI,60,all,5,619607,104047,618651,956,331294,53.55103281171452
UEFA Champions League 2025/26,post_0_to_105m,KALSHI,60,all,10,619607,104047,617674,1933,425786,68.93377412680475
UEFA Champions League 2025/26,post_0_to_105m,KALSHI,60,all,30,619607,104047,613687,5920,532073,86.70103815137033
UEFA Champions League 2025/26,post_0_to_105m,KALSHI,60,all,60,619607,104047,607844,11763,568046,93.45259638986319
UEFA Champions League 2025/26,post_0_to_105m,KALSHI,60,all,300,619607,104047,559496,60111,556144,99.40088937186324
UEFA Champions League 2025/26,post_0_to_105m,POLYMARKET,60,all,1,262393,104047,262319,74,104617,39.88159454709724
UEFA Champions League 2025/26,post_0_to_105m,POLYMARKET,60,all,5,262393,104047,261979,414,197053,75.2170975536207
UEFA Champions League 2025/26,post_0_to_105m,POLYMARKET,60,all,10,262393,104047,261586,807,224224,85.71712553424113
UEFA Champions League 2025/26,post_0_to_105m,POLYMARKET,60,all,30,262393,104047,259973,2420,246411,94.78330442007439
UEFA Champions League 2025/26,post_0_to_105m,POLYMARKET,60,all,60,262393,104047,257514,4879,250232,97.1721925798209
UEFA Champions League 2025/26,post_0_to_105m,POLYMARKET,60,all,300,262393,104047,237465,24928,234530,98.76402838313014
UEFA Champions League 2026/27,post_0_to_105m,KALSHI,60,all,1,98023,8258,97988,35,8536,8.711270767849124
UEFA Champions League 2026/27,post_0_to_105m,KALSHI,60,all,5,98023,8258,97849,174,29794,30.448957066500423
UEFA Champions League 2026/27,post_0_to_105m,KALSHI,60,all,10,98023,8258,97653,370,41904,42.911124082209454
UEFA Champions League 2026/27,post_0_to_105m,KALSHI,60,all,30,98023,8258,96912,1111,64413,66.46545319465082
UEFA Champions League 2026/27,post_0_to_105m,KALSHI,60,all,60,98023,8258,95748,2275,76219,79.60375151439194
UEFA Champions League 2026/27,post_0_to_105m,KALSHI,60,all,300,98023,8258,86756,11267,84122,96.9638987505187
UEFA Champions League 2026/27,post_0_to_105m,POLYMARKET,60,all,1,57199,8258,57188,11,8195,14.329929355808911
UEFA Champions League 2026/27,post_0_to_105m,POLYMARKET,60,all,5,57199,8258,57135,64,22843,39.98074735276101
UEFA Champions League 2026/27,post_0_to_105m,POLYMARKET,60,all,10,57199,8258,57056,143,30763,53.91720415030847
UEFA Champions League 2026/27,post_0_to_105m,POLYMARKET,60,all,30,57199,8258,56783,416,42586,74.99779863691597
UEFA Champions League 2026/27,post_0_to_105m,POLYMARKET,60,all,60,57199,8258,56296,903,48141,85.51406849509735
UEFA Champions League 2026/27,post_0_to_105m,POLYMARKET,60,all,300,57199,8258,52428,4771,51551,98.32722972457465
UEFA Champions League Women 2025/26,post_0_to_105m,KALSHI,60,all,1,0,0,0,0,0,
UEFA Champions League Women 2025/26,post_0_to_105m,KALSHI,60,all,5,0,0,0,0,0,
UEFA Champions League Women 2025/26,post_0_to_105m,KALSHI,60,all,10,0,0,0,0,0,
UEFA Champions League Women 2025/26,post_0_to_105m,KALSHI,60,all,30,0,0,0,0,0,
UEFA Champions League Women 2025/26,post_0_to_105m,KALSHI,60,all,60,0,0,0,0,0,
UEFA Champions League Women 2025/26,post_0_to_105m,KALSHI,60,all,300,0,0,0,0,0,
UEFA Champions League Women 2025/26,post_0_to_105m,POLYMARKET,60,all,1,890,0,890,0,0,0.0
UEFA Champions League Women 2025/26,post_0_to_105m,POLYMARKET,60,all,5,890,0,890,0,0,0.0
UEFA Champions League Women 2025/26,post_0_to_105m,POLYMARKET,60,all,10,890,0,890,0,0,0.0
UEFA Champions League Women 2025/26,post_0_to_105m,POLYMARKET,60,all,30,890,0,889,1,0,0.0
UEFA Champions League Women 2025/26,post_0_to_105m,POLYMARKET,60,all,60,890,0,886,4,0,0.0
UEFA Champions League Women 2025/26,post_0_to_105m,POLYMARKET,60,all,300,890,0,858,32,0,0.0
UEFA Champions League Women 2026/27,post_0_to_105m,KALSHI,60,all,1,5027,56,5026,1,100,1.9896538002387585
UEFA Champions League Women 2026/27,post_0_to_105m,KALSHI,60,all,5,5027,56,5021,6,777,15.475004979087831
UEFA Champions League Women 2026/27,post_0_to_105m,KALSHI,60,all,10,5027,56,5005,22,895,17.882117882117882
UEFA Champions League Women 2026/27,post_0_to_105m,KALSHI,60,all,30,5027,56,4969,58,1235,24.854095391426846
UEFA Champions League Women 2026/27,post_0_to_105m,KALSHI,60,all,60,5027,56,4918,109,1584,32.208214721431474
UEFA Champions League Women 2026/27,post_0_to_105m,KALSHI,60,all,300,5027,56,4413,614,2560,58.010423748017224
UEFA Champions League Women 2026/27,post_0_to_105m,POLYMARKET,60,all,1,1480,56,1480,0,70,4.72972972972973
UEFA Champions League Women 2026/27,post_0_to_105m,POLYMARKET,60,all,5,1480,56,1479,1,233,15.753887762001352
UEFA Champions League Women 2026/27,post_0_to_105m,POLYMARKET,60,all,10,1480,56,1475,5,374,25.35593220338983
UEFA Champions League Women 2026/27,post_0_to_105m,POLYMARKET,60,all,30,1480,56,1466,14,645,43.99727148703956
UEFA Champions League Women 2026/27,post_0_to_105m,POLYMARKET,60,all,60,1480,56,1460,20,855,58.56164383561644
UEFA Champions League Women 2026/27,post_0_to_105m,POLYMARKET,60,all,300,1480,56,1338,142,1183,88.41554559043348
World Cup 2026/27,post_0_to_105m,KALSHI,60,all,1,1613722,641715,1613232,490,641376,39.75720789074355
World Cup 2026/27,post_0_to_105m,KALSHI,60,all,5,1613722,641715,1611276,2446,1415655,87.8592494395746
World Cup 2026/27,post_0_to_105m,KALSHI,60,all,10,1613722,641715,1608815,4907,1549614,96.32021083841212
World Cup 2026/27,post_0_to_105m,KALSHI,60,all,30,1613722,641715,1599055,14667,1594294,99.70226164828603
World Cup 2026/27,post_0_to_105m,KALSHI,60,all,60,1613722,641715,1584262,29460,1582919,99.91522866798547
World Cup 2026/27,post_0_to_105m,KALSHI,60,all,300,1613722,641715,1464898,148824,1464816,99.99440234064078
World Cup 2026/27,post_0_to_105m,POLYMARKET,60,all,1,734890,641715,734614,276,641314,87.29945250158586
World Cup 2026/27,post_0_to_105m,POLYMARKET,60,all,5,734890,641715,733555,1335,725882,98.95399799606028
World Cup 2026/27,post_0_to_105m,POLYMARKET,60,all,10,734890,641715,732498,2392,730529,99.73119380530731
World Cup 2026/27,post_0_to_105m,POLYMARKET,60,all,30,734890,641715,728009,6881,727702,99.95783019165972
World Cup 2026/27,post_0_to_105m,POLYMARKET,60,all,60,734890,641715,721087,13803,720993,99.98696412499463
World Cup 2026/27,post_0_to_105m,POLYMARKET,60,all,300,734890,641715,664077,70813,664061,99.99759064084436
