combo,phase,source,freshness,other_state,horizon,triggers,same_second,eligible,censored,followed,follow_pct
Bundesliga 2025/26,post_105_to_135m,KALSHI,60,all,1,84129,13045,84129,0,12898,15.331217534976048
Bundesliga 2025/26,post_105_to_135m,KALSHI,60,all,5,84129,13045,84128,1,43695,51.93871243818943
Bundesliga 2025/26,post_105_to_135m,KALSHI,60,all,10,84129,13045,84123,6,57507,68.36061481402233
Bundesliga 2025/26,post_105_to_135m,KALSHI,60,all,30,84129,13045,84114,15,72341,86.00351903369237
Bundesliga 2025/26,post_105_to_135m,KALSHI,60,all,60,84129,13045,84092,37,77623,92.30723493316843
Bundesliga 2025/26,post_105_to_135m,KALSHI,60,all,300,84129,13045,83851,278,82436,98.31248285649545
Bundesliga 2025/26,post_105_to_135m,POLYMARKET,60,all,1,53361,13045,53354,7,12890,24.15938823705814
Bundesliga 2025/26,post_105_to_135m,POLYMARKET,60,all,5,53361,13045,53323,38,28865,54.13236314535941
Bundesliga 2025/26,post_105_to_135m,POLYMARKET,60,all,10,53361,13045,53296,65,34331,64.41571600120083
Bundesliga 2025/26,post_105_to_135m,POLYMARKET,60,all,30,53361,13045,53175,186,39856,74.95251527973672
Bundesliga 2025/26,post_105_to_135m,POLYMARKET,60,all,60,53361,13045,52999,362,41992,79.23168361667202
Bundesliga 2025/26,post_105_to_135m,POLYMARKET,60,all,300,53361,13045,51284,2077,44472,86.7171047500195
La Liga 2025/26,post_105_to_135m,KALSHI,60,all,1,161380,29826,161378,2,29955,18.562009691531685
La Liga 2025/26,post_105_to_135m,KALSHI,60,all,5,161380,29826,161371,9,96245,59.64206703806756
La Liga 2025/26,post_105_to_135m,KALSHI,60,all,10,161380,29826,161367,13,122895,76.15869415679786
La Liga 2025/26,post_105_to_135m,KALSHI,60,all,30,161380,29826,161340,40,148955,92.3236643113921
La Liga 2025/26,post_105_to_135m,KALSHI,60,all,60,161380,29826,161287,93,156051,96.75361312443036
La Liga 2025/26,post_105_to_135m,KALSHI,60,all,300,161380,29826,160669,711,159993,99.57925922237644
La Liga 2025/26,post_105_to_135m,POLYMARKET,60,all,1,92701,29826,92688,13,29564,31.896254099775593
La Liga 2025/26,post_105_to_135m,POLYMARKET,60,all,5,92701,29826,92636,65,57870,62.470313916835785
La Liga 2025/26,post_105_to_135m,POLYMARKET,60,all,10,92701,29826,92592,109,65936,71.21133575254882
La Liga 2025/26,post_105_to_135m,POLYMARKET,60,all,30,92701,29826,92362,339,73106,79.1515991425045
La Liga 2025/26,post_105_to_135m,POLYMARKET,60,all,60,92701,29826,92021,680,75657,82.2171026178807
La Liga 2025/26,post_105_to_135m,POLYMARKET,60,all,300,92701,29826,88697,4004,77887,87.81244010507683
Ligue 1 2025/26,post_105_to_135m,KALSHI,60,all,1,61632,7704,61632,0,7924,12.856957424714434
Ligue 1 2025/26,post_105_to_135m,KALSHI,60,all,5,61632,7704,61631,1,28019,45.4625107494605
Ligue 1 2025/26,post_105_to_135m,KALSHI,60,all,10,61632,7704,61630,2,38343,62.21483043972091
Ligue 1 2025/26,post_105_to_135m,KALSHI,60,all,30,61632,7704,61622,10,51420,83.44422446528837
Ligue 1 2025/26,post_105_to_135m,KALSHI,60,all,60,61632,7704,61609,23,56468,91.65543995195507
Ligue 1 2025/26,post_105_to_135m,KALSHI,60,all,300,61632,7704,61499,133,60281,98.01947999154457
Ligue 1 2025/26,post_105_to_135m,POLYMARKET,60,all,1,38709,7704,38701,8,7662,19.797938037776802
Ligue 1 2025/26,post_105_to_135m,POLYMARKET,60,all,5,38709,7704,38680,29,18679,48.29110651499483
Ligue 1 2025/26,post_105_to_135m,POLYMARKET,60,all,10,38709,7704,38661,48,23110,59.776001655415016
Ligue 1 2025/26,post_105_to_135m,POLYMARKET,60,all,30,38709,7704,38561,148,27743,71.94574829490936
Ligue 1 2025/26,post_105_to_135m,POLYMARKET,60,all,60,38709,7704,38413,296,29522,76.85418998776456
Ligue 1 2025/26,post_105_to_135m,POLYMARKET,60,all,300,38709,7704,37183,1526,31616,85.02810424118549
Premier League 2025/26,post_105_to_135m,KALSHI,60,all,1,214945,43744,214945,0,43735,20.347065528390985
Premier League 2025/26,post_105_to_135m,KALSHI,60,all,5,214945,43744,214938,7,138245,64.31854767421302
Premier League 2025/26,post_105_to_135m,KALSHI,60,all,10,214945,43744,214933,12,173167,80.56789790306746
Premier League 2025/26,post_105_to_135m,KALSHI,60,all,30,214945,43744,214910,35,202813,94.37113210181006
Premier League 2025/26,post_105_to_135m,KALSHI,60,all,60,214945,43744,214879,66,210042,97.74896569697364
Premier League 2025/26,post_105_to_135m,KALSHI,60,all,300,214945,43744,214270,675,213758,99.76104914360387
Premier League 2025/26,post_105_to_135m,POLYMARKET,60,all,1,118856,43744,118833,23,43605,36.69435257882911
Premier League 2025/26,post_105_to_135m,POLYMARKET,60,all,5,118856,43744,118773,83,78789,66.33578338511278
Premier League 2025/26,post_105_to_135m,POLYMARKET,60,all,10,118856,43744,118698,158,87601,73.80158048155825
Premier League 2025/26,post_105_to_135m,POLYMARKET,60,all,30,118856,43744,118370,486,95210,80.43423164653206
Premier League 2025/26,post_105_to_135m,POLYMARKET,60,all,60,118856,43744,117870,986,97870,83.03215406804107
Premier League 2025/26,post_105_to_135m,POLYMARKET,60,all,300,118856,43744,113441,5415,100129,88.26526564469636
Serie A 2025/26,post_105_to_135m,KALSHI,60,all,1,109477,16246,109476,1,16390,14.971317914428733
Serie A 2025/26,post_105_to_135m,KALSHI,60,all,5,109477,16246,109472,5,56427,51.544687225957325
Serie A 2025/26,post_105_to_135m,KALSHI,60,all,10,109477,16246,109468,9,75140,68.64106405524902
Serie A 2025/26,post_105_to_135m,KALSHI,60,all,30,109477,16246,109458,19,96136,87.82912167223958
Serie A 2025/26,post_105_to_135m,KALSHI,60,all,60,109477,16246,109443,34,103097,94.2015478376872
Serie A 2025/26,post_105_to_135m,KALSHI,60,all,300,109477,16246,109285,192,108213,99.01907855606899
Serie A 2025/26,post_105_to_135m,POLYMARKET,60,all,1,66897,16246,66889,8,16243,24.283514479211828
Serie A 2025/26,post_105_to_135m,POLYMARKET,60,all,5,66897,16246,66861,36,36543,54.65518014986315
Serie A 2025/26,post_105_to_135m,POLYMARKET,60,all,10,66897,16246,66813,84,43735,65.4588178947211
Serie A 2025/26,post_105_to_135m,POLYMARKET,60,all,30,66897,16246,66631,266,50968,76.49292371418709
Serie A 2025/26,post_105_to_135m,POLYMARKET,60,all,60,66897,16246,66365,532,53505,80.62231597980863
Serie A 2025/26,post_105_to_135m,POLYMARKET,60,all,300,66897,16246,64173,2724,56135,87.4744830380378
UEFA Champions League 2025/26,post_105_to_135m,KALSHI,60,all,1,85612,19507,85612,0,19709,23.021305424473205
UEFA Champions League 2025/26,post_105_to_135m,KALSHI,60,all,5,85612,19507,85610,2,56714,66.24693376941946
UEFA Champions League 2025/26,post_105_to_135m,KALSHI,60,all,10,85612,19507,85607,5,68037,79.47597743175207
UEFA Champions League 2025/26,post_105_to_135m,KALSHI,60,all,30,85612,19507,85601,11,79028,92.32135138608194
UEFA Champions League 2025/26,post_105_to_135m,KALSHI,60,all,60,85612,19507,85591,21,82552,96.44939304366113
UEFA Champions League 2025/26,post_105_to_135m,KALSHI,60,all,300,85612,19507,85388,224,85072,99.62992457956622
UEFA Champions League 2025/26,post_105_to_135m,POLYMARKET,60,all,1,52213,19507,52204,9,19618,37.57949582407478
UEFA Champions League 2025/26,post_105_to_135m,POLYMARKET,60,all,5,52213,19507,52171,42,30990,59.40081654559046
UEFA Champions League 2025/26,post_105_to_135m,POLYMARKET,60,all,10,52213,19507,52112,101,34127,65.48779551734725
UEFA Champions League 2025/26,post_105_to_135m,POLYMARKET,60,all,30,52213,19507,51910,303,37428,72.10171450587555
UEFA Champions League 2025/26,post_105_to_135m,POLYMARKET,60,all,60,52213,19507,51668,545,38600,74.70774947743284
UEFA Champions League 2025/26,post_105_to_135m,POLYMARKET,60,all,300,52213,19507,49166,3047,39676,80.69804336329985
UEFA Champions League 2026/27,post_105_to_135m,KALSHI,60,all,1,19741,2586,19741,0,2646,13.403576313256673
UEFA Champions League 2026/27,post_105_to_135m,KALSHI,60,all,5,19741,2586,19739,2,8546,43.29499974669436
UEFA Champions League 2026/27,post_105_to_135m,KALSHI,60,all,10,19741,2586,19739,2,11563,58.57946197882365
UEFA Champions League 2026/27,post_105_to_135m,KALSHI,60,all,30,19741,2586,19736,5,16125,81.70348601540333
UEFA Champions League 2026/27,post_105_to_135m,KALSHI,60,all,60,19741,2586,19731,10,18003,91.24220769347727
UEFA Champions League 2026/27,post_105_to_135m,KALSHI,60,all,300,19741,2586,19695,46,19385,98.42599644579843
UEFA Champions League 2026/27,post_105_to_135m,POLYMARKET,60,all,1,8720,2586,8720,0,2549,29.23165137614679
UEFA Champions League 2026/27,post_105_to_135m,POLYMARKET,60,all,5,8720,2586,8718,2,5100,58.49965588437715
UEFA Champions League 2026/27,post_105_to_135m,POLYMARKET,60,all,10,8720,2586,8717,3,6005,68.88837902948262
UEFA Champions League 2026/27,post_105_to_135m,POLYMARKET,60,all,30,8720,2586,8712,8,7049,80.91138659320478
UEFA Champions League 2026/27,post_105_to_135m,POLYMARKET,60,all,60,8720,2586,8703,17,7388,84.8902677237734
UEFA Champions League 2026/27,post_105_to_135m,POLYMARKET,60,all,300,8720,2586,8600,120,7687,89.38372093023256
UEFA Champions League Women 2025/26,post_105_to_135m,KALSHI,60,all,1,0,0,0,0,0,
UEFA Champions League Women 2025/26,post_105_to_135m,KALSHI,60,all,5,0,0,0,0,0,
UEFA Champions League Women 2025/26,post_105_to_135m,KALSHI,60,all,10,0,0,0,0,0,
UEFA Champions League Women 2025/26,post_105_to_135m,KALSHI,60,all,30,0,0,0,0,0,
UEFA Champions League Women 2025/26,post_105_to_135m,KALSHI,60,all,60,0,0,0,0,0,
UEFA Champions League Women 2025/26,post_105_to_135m,KALSHI,60,all,300,0,0,0,0,0,
UEFA Champions League Women 2025/26,post_105_to_135m,POLYMARKET,60,all,1,81,0,81,0,0,0.0
UEFA Champions League Women 2025/26,post_105_to_135m,POLYMARKET,60,all,5,81,0,81,0,0,0.0
UEFA Champions League Women 2025/26,post_105_to_135m,POLYMARKET,60,all,10,81,0,81,0,0,0.0
UEFA Champions League Women 2025/26,post_105_to_135m,POLYMARKET,60,all,30,81,0,81,0,0,0.0
UEFA Champions League Women 2025/26,post_105_to_135m,POLYMARKET,60,all,60,81,0,77,4,0,0.0
UEFA Champions League Women 2025/26,post_105_to_135m,POLYMARKET,60,all,300,81,0,74,7,0,0.0
UEFA Champions League Women 2026/27,post_105_to_135m,KALSHI,60,all,1,1289,24,1289,0,23,1.7843289371605897
UEFA Champions League Women 2026/27,post_105_to_135m,KALSHI,60,all,5,1289,24,1289,0,173,13.421256788207913
UEFA Champions League Women 2026/27,post_105_to_135m,KALSHI,60,all,10,1289,24,1289,0,215,16.679596586501162
UEFA Champions League Women 2026/27,post_105_to_135m,KALSHI,60,all,30,1289,24,1289,0,347,26.920093095422807
UEFA Champions League Women 2026/27,post_105_to_135m,KALSHI,60,all,60,1289,24,1289,0,464,35.99689681923972
UEFA Champions League Women 2026/27,post_105_to_135m,KALSHI,60,all,300,1289,24,1288,1,926,71.8944099378882
UEFA Champions League Women 2026/27,post_105_to_135m,POLYMARKET,60,all,1,328,24,328,0,28,8.536585365853659
UEFA Champions League Women 2026/27,post_105_to_135m,POLYMARKET,60,all,5,328,24,328,0,73,22.25609756097561
UEFA Champions League Women 2026/27,post_105_to_135m,POLYMARKET,60,all,10,328,24,327,1,99,30.275229357798164
UEFA Champions League Women 2026/27,post_105_to_135m,POLYMARKET,60,all,30,328,24,327,1,139,42.50764525993884
UEFA Champions League Women 2026/27,post_105_to_135m,POLYMARKET,60,all,60,328,24,326,2,167,51.22699386503067
UEFA Champions League Women 2026/27,post_105_to_135m,POLYMARKET,60,all,300,328,24,313,15,190,60.70287539936102
World Cup 2026/27,post_105_to_135m,KALSHI,60,all,1,225124,114132,225118,6,114346,50.79380591512007
World Cup 2026/27,post_105_to_135m,KALSHI,60,all,5,225124,114132,225089,35,204964,91.05909218131495
World Cup 2026/27,post_105_to_135m,KALSHI,60,all,10,225124,114132,225054,70,213456,94.84657015649577
World Cup 2026/27,post_105_to_135m,KALSHI,60,all,30,225124,114132,224904,220,219949,97.79683776188952
World Cup 2026/27,post_105_to_135m,KALSHI,60,all,60,225124,114132,224683,441,221864,98.74534343942355
World Cup 2026/27,post_105_to_135m,KALSHI,60,all,300,225124,114132,222749,2375,222422,99.85319799415485
World Cup 2026/27,post_105_to_135m,POLYMARKET,60,all,1,163269,114132,163233,36,114045,69.86638731138925
World Cup 2026/27,post_105_to_135m,POLYMARKET,60,all,5,163269,114132,163082,187,124230,76.1764020554077
World Cup 2026/27,post_105_to_135m,POLYMARKET,60,all,10,163269,114132,162919,350,125971,77.32124552691829
World Cup 2026/27,post_105_to_135m,POLYMARKET,60,all,30,163269,114132,162240,1029,127223,78.41654339250493
World Cup 2026/27,post_105_to_135m,POLYMARKET,60,all,60,163269,114132,161228,2041,127417,79.02907683528916
World Cup 2026/27,post_105_to_135m,POLYMARKET,60,all,300,163269,114132,151250,12019,126616,83.71305785123967
