combo,phase,freshness,fresh_pct_of_clock,k_only_pct_of_clock,pm_only_pct_of_clock,neither_pct_of_clock
World Cup 2026/27,pre_24h_to_1h,5,12.285221571906357,27.3892721107395,9.274928774928776,51.050577542425366
UEFA Champions League 2025/26,pre_24h_to_1h,5,0.6632500915914764,3.739055883580843,2.855227956274655,92.74246606855304
Premier League 2025/26,pre_24h_to_1h,5,0.3033526665051611,2.642648644540398,2.024168839867185,95.02982984908724
La Liga 2025/26,pre_24h_to_1h,5,0.1604423069549881,1.347620006134499,1.357266266007208,97.1346714209033
Serie A 2025/26,pre_24h_to_1h,5,0.0678271975123549,0.7628141947544747,0.929187026856942,98.24017158087622
UEFA Champions League 2026/27,pre_24h_to_1h,5,0.0114265546070191,0.306029823748704,0.4403194141133391,99.24222420753094
Bundesliga 2025/26,pre_24h_to_1h,5,0.0397042892695066,0.5393017127799736,0.8450548967940272,98.5759391011565
Ligue 1 2025/26,pre_24h_to_1h,5,0.0339250338859347,0.3797874743683314,0.6101959012500144,98.97609159049571
UEFA Champions League Women 2026/27,pre_24h_to_1h,5,0.0141945488161269,0.033428758871593,0.0635027136637442,99.88887397864852
World Cup 2026/27,pre_last_hour,5,67.90838675213675,27.48851495726496,2.329861111111111,2.2732371794871797
UEFA Champions League 2025/26,pre_last_hour,5,9.653831079757005,16.687046835194984,8.165686850872037,65.49343523417598
Premier League 2025/26,pre_last_hour,5,6.3691685786081065,15.156779198077134,9.031383153064567,69.44266907025019
La Liga 2025/26,pre_last_hour,5,3.5204750881834217,8.82280643738977,7.152915564373898,80.50380291005291
Serie A 2025/26,pre_last_hour,5,1.638250319284802,6.096477224350788,6.454129416773095,85.81114303959131
UEFA Champions League 2026/27,pre_last_hour,5,0.4337899543378995,3.440766108574328,4.632039573820395,91.49340436326736
Bundesliga 2025/26,pre_last_hour,5,1.0935016835016835,4.073872053872054,6.059191919191919,88.77343434343435
Ligue 1 2025/26,pre_last_hour,5,1.0117572608579803,3.5192512656541437,5.420763389288569,90.04822808419931
UEFA Champions League Women 2026/27,pre_last_hour,5,0.0840192043895747,0.338477366255144,0.4852537722908093,99.09224965706449
World Cup 2026/27,post_0_to_105m,5,83.23361823361823,13.606939356939355,1.234940984940985,1.9245014245014245
UEFA Champions League 2025/26,post_0_to_105m,5,18.905853699504494,26.13681027966742,7.678564429887181,47.278771590940906
Premier League 2025/26,post_0_to_105m,5,18.942922695135085,28.74111532518612,9.590719670365688,42.72524230931311
La Liga 2025/26,post_0_to_105m,5,12.39906147644243,22.005731922398592,9.654289493575206,55.94091710758377
Serie A 2025/26,post_0_to_105m,5,8.438727726084048,18.60309858298364,9.800158121997203,63.158015568935106
UEFA Champions League 2026/27,post_0_to_105m,5,5.989490468942524,18.208161194462566,9.538160469667318,66.26418786692759
Bundesliga 2025/26,post_0_to_105m,5,6.934930254930255,15.403963443963443,10.026897546897546,67.63420875420876
Ligue 1 2025/26,post_0_to_105m,5,5.08596931978227,13.961840051768108,8.412241635263218,72.5399489931864
UEFA Champions League Women 2026/27,post_0_to_105m,5,0.3656672545561434,3.8148148148148144,0.9200470311581421,94.89947089947091
World Cup 2026/27,post_105_to_135m,5,41.486467236467234,8.064280626780628,18.218304843304843,32.230947293447294
UEFA Champions League 2025/26,post_105_to_135m,5,9.587497550460514,8.487066431510875,8.734665882814031,73.19077013521458
Premier League 2025/26,post_105_to_135m,5,14.473287446738777,11.915929203539823,9.36004588659456,64.25073746312684
La Liga 2025/26,post_105_to_135m,5,10.952656525573191,10.84264770723104,8.23451278659612,69.97018298059965
Serie A 2025/26,post_105_to_135m,5,7.047094508301405,9.464931885908898,7.09732865048957,76.39064495530013
UEFA Champions League 2026/27,post_105_to_135m,5,4.473110096397767,8.494926433282597,3.728056823947235,83.3039066463724
Bundesliga 2025/26,post_105_to_135m,5,6.892929292929293,8.923299663299664,7.135892255892256,77.04787878787879
Ligue 1 2025/26,post_105_to_135m,5,4.661803890221156,7.964828137490008,5.896616040500932,81.4767519317879
UEFA Champions League Women 2026/27,post_105_to_135m,5,0.2928669410150891,3.2626886145404663,0.7091906721536351,95.7352537722908
World Cup 2026/27,pre_24h_to_1h,10,23.22343769354639,30.50303093645485,11.099068654775175,35.174462715223584
UEFA Champions League 2025/26,pre_24h_to_1h,10,1.8925525479470728,5.952713237737393,4.461295146077755,87.69343906823778
Premier League 2025/26,pre_24h_to_1h,10,1.0457179636992386,4.48132472603423,3.26236824229642,91.21058906797012
La Liga 2025/26,pre_24h_to_1h,10,0.5465335288704853,2.289557932673875,2.2738718273138563,94.8900367111418
Serie A 2025/26,pre_24h_to_1h,10,0.2680303366835101,1.3416717567142356,1.605214753734244,96.785083152868
UEFA Champions League 2026/27,pre_24h_to_1h,10,0.0374506430194339,0.5889583746939315,0.8154214369223303,98.55816954536432
Bundesliga 2025/26,pre_24h_to_1h,10,0.1591758161323378,0.9718123261601522,1.4914287805592152,97.3775830771483
Ligue 1 2025/26,pre_24h_to_1h,10,0.1337828288094162,0.6719682225234306,1.0773164077433706,98.11693254092378
UEFA Champions League Women 2026/27,pre_24h_to_1h,10,0.0382298562652829,0.0515447009005785,0.1069958847736625,99.80322955806048
World Cup 2026/27,pre_last_hour,10,85.05813746438747,13.659633190883191,0.8609330484330484,0.4212962962962963
UEFA Champions League 2025/26,pre_last_hour,10,18.14530668234372,20.30374289633549,9.587987458357828,51.96296296296296
Premier League 2025/26,pre_last_hour,10,14.051158090243636,19.71686878619032,11.040860919916968,55.19111220364908
La Liga 2025/26,pre_last_hour,10,7.768766534391534,12.146963183421516,9.815779320987655,70.26849096119929
Serie A 2025/26,pre_last_hour,10,4.397855470412941,9.19369944657301,9.363026819923371,77.04541826309068
UEFA Champions League 2026/27,pre_last_hour,10,1.2833587011669203,5.868721461187215,7.605022831050229,85.24289700659564
Bundesliga 2025/26,pre_last_hour,10,2.90973063973064,6.323636363636363,9.172996632996632,81.59363636363636
