panel,gap_bucket,weighting,share_pct
World Cup 2026/27 | pre_last_hour  F=10s | all,"[3,4)",per print,0.0007585920026702439
World Cup 2026/27 | pre_last_hour  F=10s | all,"[3,4)",per second,0.0006280749502773998
World Cup 2026/27 | pre_last_hour  F=10s | all,≥4,per print,0.0
World Cup 2026/27 | pre_last_hour  F=10s | all,≥4,per second,0.0
Premier League 2025/26 | post_0_to_105m  F=60s | team_win,≤−4,per print,3.1129266311510184
Premier League 2025/26 | post_0_to_105m  F=60s | team_win,≤−4,per second,2.7786920216980557
Premier League 2025/26 | post_0_to_105m  F=60s | team_win,"(−4,−3]",per print,2.8522912884106435
Premier League 2025/26 | post_0_to_105m  F=60s | team_win,"(−4,−3]",per second,2.7311513378436034
Premier League 2025/26 | post_0_to_105m  F=60s | team_win,"(−3,−2]",per print,10.340364281983925
Premier League 2025/26 | post_0_to_105m  F=60s | team_win,"(−3,−2]",per second,10.083777988330922
Premier League 2025/26 | post_0_to_105m  F=60s | team_win,"(−2,−1]",per print,26.49710998517514
Premier League 2025/26 | post_0_to_105m  F=60s | team_win,"(−2,−1]",per second,26.370894906276146
Premier League 2025/26 | post_0_to_105m  F=60s | team_win,"(−1,1)",per print,43.70002243815544
Premier League 2025/26 | post_0_to_105m  F=60s | team_win,"(−1,1)",per second,44.71555932334868
Premier League 2025/26 | post_0_to_105m  F=60s | team_win,"[1,2)",per print,8.900598971372245
Premier League 2025/26 | post_0_to_105m  F=60s | team_win,"[1,2)",per second,9.083539730824427
Premier League 2025/26 | post_0_to_105m  F=60s | team_win,"[2,3)",per print,2.4575169290493766
Premier League 2025/26 | post_0_to_105m  F=60s | team_win,"[2,3)",per second,2.439230483662738
Premier League 2025/26 | post_0_to_105m  F=60s | team_win,"[3,4)",per print,0.8160041858427977
Premier League 2025/26 | post_0_to_105m  F=60s | team_win,"[3,4)",per second,0.768712910786416
Premier League 2025/26 | post_0_to_105m  F=60s | team_win,≥4,per print,1.3231652888594068
Premier League 2025/26 | post_0_to_105m  F=60s | team_win,≥4,per second,1.0284412972290098
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win,≤−4,per print,3.616583103837901
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win,≤−4,per second,3.6040488130368384
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win,"(−4,−3]",per print,2.6542572122611032
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win,"(−4,−3]",per second,2.840787252269266
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win,"(−3,−2]",per print,9.048800461639997
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win,"(−3,−2]",per second,9.084739231665994
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win,"(−2,−1]",per print,23.95604053862607
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win,"(−2,−1]",per second,22.70001055852416
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win,"(−1,1)",per print,45.88981454926176
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win,"(−1,1)",per second,45.45912708217906
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win,"[1,2)",per print,9.316765893926462
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win,"[1,2)",per second,10.165191920225451
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win,"[2,3)",per print,2.8118229596790636
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win,"[2,3)",per second,3.3338267901324605
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win,"[3,4)",per print,1.0030994841103928
