cell,route,price_bucket,n,pos_0c,pos_pct
World Cup 2026/27 | post_0_to_105m  F=5s,taker/maker,30-70c,722835.0,46154.0,6.39
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,<10c,291714.0,5989.0,2.05
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,>=90c,115919.0,1594.0,1.38
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,70-90c,185285.0,1026.0,0.55
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,10-30c,561257.0,2822.0,0.5
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,30-70c,684022.0,2412.0,0.35
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,<10c,31455.0,28166.0,89.54
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,>=90c,5325.0,2586.0,48.56
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,70-90c,50100.0,38195.0,76.24
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,10-30c,141762.0,115583.0,81.53
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,30-70c,198378.0,142904.0,72.04
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,<10c,47708.0,2505.0,5.25
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,>=90c,9519.0,486.0,5.11
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,70-90c,92062.0,1249.0,1.36
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,10-30c,261669.0,9504.0,3.63
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,30-70c,285087.0,2185.0,0.77
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,<10c,47971.0,22296.0,46.48
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,>=90c,8579.0,3164.0,36.88
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,70-90c,84301.0,10774.0,12.78
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,10-30c,267071.0,22077.0,8.27
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,30-70c,288123.0,14716.0,5.11
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,<10c,27680.0,256.0,0.92
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,>=90c,5781.0,0.0,0.0
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,70-90c,57017.0,0.0,0.0
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,10-30c,140319.0,0.0,0.0
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,30-70c,196223.0,0.0,0.0
