cell,route,freshness,n,pos_0c,pos_pct
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,59,1295172,991964,76.58936419255512
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,60,1299032,995000,76.5954957229691
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,61,1302726,997887,76.59991433348225
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,62,1306282,1000667,76.60420950453272
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,63,1309865,1003487,76.6099559878308
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,64,1313299,1006205,76.6165968298156
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,65,1316746,1008904,76.62100359522641
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,66,1319989,1011412,76.622759735119
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,67,1323215,1013941,76.62707874381714
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,68,1326261,1016353,76.63295535343345
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,69,1329306,1018733,76.63645541357671
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,70,1332149,1020967,76.64060101385056
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,71,1334994,1023228,76.64663661409715
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,72,1337783,1025439,76.65211772013846
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,73,1340617,1027664,76.65604717827686
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,74,1343269,1029786,76.66267888263631
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,75,1345912,1031864,76.66652797508307
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,76,1348429,1033852,76.67085178381657
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,77,1351168,1036015,76.6755133336491
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,78,1353728,1038026,76.67906699130106
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,79,1356130,1039905,76.68180779128845
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,80,1358452,1041748,76.6864048196035
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,81,1360843,1043633,76.69018395215319
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,82,1363056,1045368,76.69296052399902
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,83,1365337,1047141,76.69469149374844
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,84,1367378,1048781,76.70015167715145
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,85,1369685,1050596,76.70347561665639
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,86,1371699,1052161,76.7049476598
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,87,1373816,1053836,76.70867132134143
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,88,1375872,1055470,76.71280467950507
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,89,1377856,1057052,76.71716057410934
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,90,1379774,1058546,76.71879597673242
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,91,1381674,1060019,76.71990643234221
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,92,1383603,1061522,76.72157403532661
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,93,1385437,1062963,76.72402281734932
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,94,1387219,1064366,76.7266019280301
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,95,1389004,1065754,76.72792878926195
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,96,1390774,1067152,76.73079882137573
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,97,1392532,1068531,76.7329583808487
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,98,1394190,1069830,76.73487831644181
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,99,1395928,1071199,76.73741052547123
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,100,1397586,1072510,76.74017913745558
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,101,1399286,1073828,76.74113798036998
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,102,1400903,1075108,76.74392873739295
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,103,1402412,1076283,76.74513623671218
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,104,1403962,1077507,76.74759003448811
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,105,1405486,1078715,76.75031981819812
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,106,1406935,1079837,76.75102261298497
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,107,1408408,1080989,76.75254613719888
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,108,1409825,1082120,76.75562569822496
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,109,1411280,1083275,76.75833286094893
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,110,1412672,1084367,76.75999807457075
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,111,1414064,1085447,76.76081139184647
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,112,1415402,1086522,76.76419843973656
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,113,1416754,1087602,76.7671734118979
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,114,1418077,1088650,76.76945610146699
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,115,1419367,1089654,76.77041948981483
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,116,1420610,1090671,76.77483616193044
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,117,1421849,1091649,76.77671820284714
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,118,1423058,1092630,76.78042637756157
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,119,1424268,1093592,76.78274032696093
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,120,1425373,1094475,76.78516430436103
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,121,1426539,1095410,76.7879462110745
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,122,1427660,1096300,76.78999201490551
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,123,1428754,1097148,76.79054616819971
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,124,1429853,1098028,76.79306893785585
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,125,1430944,1098906,76.79587740680279
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,126,1432024,1099750,76.79689725870516
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,127,1433091,1100600,76.79903090592293
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,128,1434114,1101418,76.80128636914499
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,129,1435172,1102285,76.80507980924935
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,130,1436264,1103179,76.80892927762584
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,131,1437288,1103976,76.8096581895904
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,132,1438242,1104743,76.81203858599596
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,133,1439245,1105547,76.81437142390628
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,134,1440195,1106298,76.81584785393645
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,135,1441189,1107091,76.81789133833244
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,136,1442085,1107806,76.81974363508392
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,137,1443009,1108507,76.81913279820154
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,138,1443893,1109228,76.82203598189062
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,139,1444841,1109985,76.82402423519267
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,140,1445691,1110671,76.82630658972076
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,141,1446598,1111399,76.82846236480349
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,142,1447441,1112077,76.83055820582669
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,143,1448317,1112776,76.83235092869862
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,144,1449162,1113442,76.83350791698926
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,145,1450047,1114146,76.83516465328366
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,146,1450830,1114769,76.83663833805477
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,147,1451665,1115450,76.83935343209349
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,148,1452450,1116083,76.84140590037522
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,149,1453235,1116711,76.84311209129976
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,150,1454029,1117342,76.84454711701073
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,151,1454800,1117943,76.84513335166346
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,152,1455554,1118559,76.84764701275253
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,153,1456306,1119154,76.84882160754677
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,154,1457070,1119755,76.84977386124208
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,155,1457772,1120305,76.85049513915756
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,156,1458467,1120869,76.8525444867796
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,157,1459176,1121438,76.85419716333054
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,158,1459882,1122017,76.85669115723051
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,159,1460603,1122592,76.85811955747045
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,160,1461261,1123113,76.859164789863
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,161,1461965,1123667,76.86004794916431
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,162,1462650,1124211,76.86124500051277
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,163,1463336,1124782,76.86423350481365
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,164,1464037,1125329,76.86479235155942
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,165,1464692,1125836,76.86503374088204
