combo,phase,freshness,series,clock_pct
UEFA Champions League Women 2026/27,pre_last_hour,10,Neither fresh,98.35288065843622
World Cup 2026/27,post_105_to_135m,10,Neither fresh,25.27546296296296
World Cup 2026/27,pre_24h_to_1h,10,Neither fresh,35.174462715223584
World Cup 2026/27,pre_last_hour,10,Neither fresh,0.4212962962962963
Bundesliga 2025/26,post_0_to_105m,10,Neither fresh,53.17377585377585
La Liga 2025/26,post_0_to_105m,10,Neither fresh,40.41124968505921
Ligue 1 2025/26,post_0_to_105m,10,Neither fresh,59.008298123406036
Premier League 2025/26,post_0_to_105m,10,Neither fresh,26.438232585725213
Serie A 2025/26,post_0_to_105m,10,Neither fresh,47.682889375418114
UEFA Champions League 2025/26,post_0_to_105m,10,Neither fresh,32.81540270429159
UEFA Champions League 2026/27,post_0_to_105m,10,Neither fresh,51.38849025150395
UEFA Champions League Women 2025/26,post_0_to_105m,10,Neither fresh,91.16534391534393
UEFA Champions League Women 2026/27,post_0_to_105m,10,Neither fresh,91.18165784832452
World Cup 2026/27,post_0_to_105m,10,Neither fresh,0.923026048026048
