outcome_sel,,all,all,team_win,team_win,draw,draw
direction,,K YES + PM NO,PM YES + K NO,K YES + PM NO,PM YES + K NO,K YES + PM NO,PM YES + K NO
cell,route,,,,,,
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,0.92,1.17,0.81,1.2,1.4,1.08
Premier League 2025/26 | post_0_to_105m  F=60s,taker/taker,-3.62,-3.22,-3.62,-3.07,-3.61,-3.87
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,1.02,1.19,0.88,1.26,1.67,0.91
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,-3.54,-3.24,-3.61,-3.09,-3.24,-3.94
World Cup 2026/27 | post_0_to_105m  F=5s,maker/maker,0.53,0.63,0.44,0.72,0.76,0.39
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,-2.83,-2.77,-2.87,-2.61,-2.72,-3.17
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,0.32,0.8,0.25,0.85,0.67,0.54
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,-3.31,-2.95,-3.39,-2.92,-2.94,-3.12
