cell,pair,fresh_pct_of_clock,k_only_pct_of_clock,pm_only_pct_of_clock,neither_pct_of_clock
Premier League 2025/26 | post_0_to_105m  F=60s,all/all,78.3094535749403,15.681478359944435,2.6258993928610446,3.383168672254218
Premier League 2025/26 | post_0_to_105m  F=60s,buy/sell,49.61591047431755,11.284122301821416,22.024254342838415,17.075712881022618
Premier League 2025/26 | post_0_to_105m  F=60s,sell/buy,58.61754928126609,32.936585974934054,2.6971328682243136,5.748731875575533
Premier League 2025/26 | post_0_to_105m  F=60s,buy/buy,68.72861356932154,22.82552168687862,2.9115512478344336,5.534313495965413
Premier League 2025/26 | post_0_to_105m  F=60s,sell/sell,44.94011331179473,15.959919464344242,16.374568837695683,22.72539838616535
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,all/all,69.68469527728787,18.69793678788388,4.425771954872484,7.191595979955769
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,buy/sell,45.11321071638532,13.431314912796395,18.974552784076593,22.48092158674169
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,sell/buy,50.182777637804094,33.88040648358109,4.697124940511184,11.239690938103637
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,buy/buy,59.467764060356664,24.595420061028527,4.619999440105261,11.31681643850956
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,sell/sell,41.303686906861515,17.240838722320202,13.576215671453767,27.879258699364517
World Cup 2026/27 | post_0_to_105m  F=5s,all/all,83.23361823361823,13.606939356939355,1.234940984940985,1.9245014245014245
World Cup 2026/27 | post_0_to_105m  F=5s,buy/sell,53.98341473341473,14.258496133496134,20.365181115181116,11.392908017908018
World Cup 2026/27 | post_0_to_105m  F=5s,sell/buy,54.63527676027677,39.867266992267,2.129884004884005,3.3675722425722427
World Cup 2026/27 | post_0_to_105m  F=5s,buy/buy,72.59366096866097,21.90888278388278,1.75493487993488,3.742521367521367
World Cup 2026/27 | post_0_to_105m  F=5s,sell/sell,43.65750915750915,24.584401709401707,13.107651607651608,18.650437525437525
World Cup 2026/27 | pre_last_hour  F=10s,all/all,85.05813746438747,13.659633190883191,0.8609330484330484,0.4212962962962963
World Cup 2026/27 | pre_last_hour  F=10s,buy/sell,40.87045940170941,6.428952991452992,40.07665598290598,12.623931623931623
World Cup 2026/27 | pre_last_hour  F=10s,sell/buy,40.513799857549856,58.04362535612536,0.3547008547008547,1.0878739316239316
World Cup 2026/27 | pre_last_hour  F=10s,buy/buy,80.08404558404558,18.47337962962963,0.8630698005698005,0.5795049857549858
World Cup 2026/27 | pre_last_hour  F=10s,sell/sell,22.718304843304843,24.58110754985755,18.15019586894587,34.55039173789174
