cell,selection,pm_action,k_action,mean_gap_c,le_m2c_pct,ge_p2c_pct,prints
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,balanced | draw,sell,sell,0.44010305186652177,8.069640360909899,14.639725505146778,15738
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,balanced | draw,sell,all,-0.7992217127421058,22.60221391248359,5.324286174190832,40381
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,balanced | draw,all,buy,-0.4386403387051906,13.099354301187253,4.361591335138513,48010
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,balanced | draw,all,sell,1.1580428426736082,4.532308887641904,21.53925842793629,23167
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,balanced | draw,all,all,-0.05961952796365208,10.795843905691479,8.028818550552849,53993
World Cup 2026/27 | post_0_to_105m  F=5s,balanced | draw,buy,buy,0.19436701423501676,1.089212801386893,1.630967859668332,87678
World Cup 2026/27 | post_0_to_105m  F=5s,balanced | draw,buy,sell,1.1529685172486932,0.423728813559322,12.973127250373233,45548
World Cup 2026/27 | post_0_to_105m  F=5s,balanced | draw,buy,all,0.35268609914597265,0.6425596029424798,2.9502348666134894,90264
World Cup 2026/27 | post_0_to_105m  F=5s,balanced | draw,sell,buy,-0.6129479149924671,9.428546425133455,0.7123479478428284,57135
World Cup 2026/27 | post_0_to_105m  F=5s,balanced | draw,sell,sell,0.3490207708840491,1.741474347325701,6.172390817130051,33018
World Cup 2026/27 | post_0_to_105m  F=5s,balanced | draw,sell,all,-0.41441587566781163,5.361785461052774,0.9690380524698652,59234
World Cup 2026/27 | post_0_to_105m  F=5s,balanced | draw,all,buy,-0.04736738217779912,2.430191164063625,1.0638516780871248,97194
World Cup 2026/27 | post_0_to_105m  F=5s,balanced | draw,all,sell,0.8746623859790255,0.5661862080878259,9.078172082221753,52103
World Cup 2026/27 | post_0_to_105m  F=5s,balanced | draw,all,all,0.11180977762432301,1.4868883482022168,1.8393359566649647,99873
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | strong,buy,buy,-0.42888826770381544,12.031928782229247,2.95736457965512,308687
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | strong,buy,sell,0.9519587287565808,4.629383382090346,17.49870192368578,157926
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | strong,buy,all,-0.07367029746908267,9.665224207512193,6.3118572386115375,356567
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | strong,sell,buy,-1.5649868851375432,39.84377245681107,1.1961395843513754,278312
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | strong,sell,sell,-0.1534156535983514,12.418253475580707,7.591418960862724,138538
