cell,fixture_rank,fixtures_pct,observations,cumulative_pct
Premier League 2025/26 | post_0_to_105m  F=60s,60,17.699115044247787,6585,40.44958091871486
Premier League 2025/26 | post_0_to_105m  F=60s,61,17.99410029498525,6556,40.954264406111626
Premier League 2025/26 | post_0_to_105m  F=60s,62,18.289085545722713,6547,41.458255069928995
Premier League 2025/26 | post_0_to_105m  F=60s,63,18.58407079646018,6512,41.959551419826454
Premier League 2025/26 | post_0_to_105m  F=60s,64,18.87905604719764,6416,42.45345765154361
Premier League 2025/26 | post_0_to_105m  F=60s,65,19.174041297935105,6399,42.94605521649967
Premier League 2025/26 | post_0_to_105m  F=60s,66,19.469026548672566,6323,43.432802271229654
Premier League 2025/26 | post_0_to_105m  F=60s,67,19.764011799410028,6272,43.91562332567635
Premier League 2025/26 | post_0_to_105m  F=60s,68,20.058997050147493,6201,44.392978771885524
Premier League 2025/26 | post_0_to_105m  F=60s,69,20.353982300884955,6150,44.86640821781142
Premier League 2025/26 | post_0_to_105m  F=60s,70,20.64896755162242,6143,45.33929880095332
Premier League 2025/26 | post_0_to_105m  F=60s,71,20.94395280235988,6030,45.80349059915383
Premier League 2025/26 | post_0_to_105m  F=60s,72,21.238938053097346,5887,46.25667420048159
Premier League 2025/26 | post_0_to_105m  F=60s,73,21.533923303834808,5875,46.70893403703681
Premier League 2025/26 | post_0_to_105m  F=60s,74,21.828908554572273,5862,47.16019312842178
Premier League 2025/26 | post_0_to_105m  F=60s,75,22.123893805309734,5827,47.60875790588685
Premier League 2025/26 | post_0_to_105m  F=60s,76,22.4188790560472,5761,48.05224197710295
Premier League 2025/26 | post_0_to_105m  F=60s,77,22.71386430678466,5733,48.49357059718314
Premier League 2025/26 | post_0_to_105m  F=60s,78,23.008849557522122,5685,48.931204158173166
Premier League 2025/26 | post_0_to_105m  F=60s,79,23.303834808259587,5479,49.35297975723462
Premier League 2025/26 | post_0_to_105m  F=60s,80,23.59882005899705,5461,49.77336970913726
Premier League 2025/26 | post_0_to_105m  F=60s,81,23.893805309734514,5442,50.19229703348339
Premier League 2025/26 | post_0_to_105m  F=60s,82,24.188790560471976,5427,50.61006965186385
Premier League 2025/26 | post_0_to_105m  F=60s,83,24.48377581120944,5413,51.02676454467635
Premier League 2025/26 | post_0_to_105m  F=60s,84,24.778761061946902,5407,51.44299755510257
Premier League 2025/26 | post_0_to_105m  F=60s,85,25.073746312684367,5302,51.85114762376908
Premier League 2025/26 | post_0_to_105m  F=60s,86,25.36873156342183,5169,52.249059299539965
Premier League 2025/26 | post_0_to_105m  F=60s,87,25.663716814159294,5098,52.64150536707333
Premier League 2025/26 | post_0_to_105m  F=60s,88,25.958702064896755,5061,53.031103159891366
Premier League 2025/26 | post_0_to_105m  F=60s,89,26.253687315634217,5022,53.417698717198654
Premier League 2025/26 | post_0_to_105m  F=60s,90,26.548672566371682,5021,53.80421729410823
Premier League 2025/26 | post_0_to_105m  F=60s,91,26.843657817109143,5019,54.190581910222384
Premier League 2025/26 | post_0_to_105m  F=60s,92,27.13864306784661,5013,54.576484643950266
Premier League 2025/26 | post_0_to_105m  F=60s,93,27.43362831858407,4993,54.96084776972392
Premier League 2025/26 | post_0_to_105m  F=60s,94,27.728613569321535,4858,55.33481854180651
Premier League 2025/26 | post_0_to_105m  F=60s,95,28.023598820058996,4765,55.70163013690194
Premier League 2025/26 | post_0_to_105m  F=60s,96,28.31858407079646,4740,56.06651722205458
Premier League 2025/26 | post_0_to_105m  F=60s,97,28.613569321533923,4690,56.42755528732164
Premier League 2025/26 | post_0_to_105m  F=60s,98,28.908554572271388,4669,56.786976764236755
Premier League 2025/26 | post_0_to_105m  F=60s,99,29.20353982300885,4657,57.145474476379334
Premier League 2025/26 | post_0_to_105m  F=60s,100,29.49852507374631,4654,57.50374124732878
Premier League 2025/26 | post_0_to_105m  F=60s,101,29.793510324483776,4646,57.86139217509653
Premier League 2025/26 | post_0_to_105m  F=60s,102,30.088495575221238,4589,58.21465522019473
Premier League 2025/26 | post_0_to_105m  F=60s,103,30.383480825958703,4515,58.56222171586227
Premier League 2025/26 | post_0_to_105m  F=60s,104,30.678466076696164,4509,58.909326329143546
Premier League 2025/26 | post_0_to_105m  F=60s,105,30.97345132743363,4477,59.253967569698055
Premier League 2025/26 | post_0_to_105m  F=60s,106,31.26843657817109,4462,59.59745410428688
Premier League 2025/26 | post_0_to_105m  F=60s,107,31.563421828908556,4437,59.93901612893293
Premier League 2025/26 | post_0_to_105m  F=60s,108,31.858407079646017,4437,60.28057815357897
Premier League 2025/26 | post_0_to_105m  F=60s,109,32.15339233038348,4402,60.61944586430511
Premier League 2025/26 | post_0_to_105m  F=60s,110,32.448377581120944,4341,60.95361777077085
Premier League 2025/26 | post_0_to_105m  F=60s,111,32.743362831858406,4299,61.2845565005327
Premier League 2025/26 | post_0_to_105m  F=60s,112,33.03834808259587,4277,61.613801661544905
Premier League 2025/26 | post_0_to_105m  F=60s,113,33.333333333333336,4268,61.9423539989777
Premier League 2025/26 | post_0_to_105m  F=60s,114,33.6283185840708,4260,62.270290493228806
Premier League 2025/26 | post_0_to_105m  F=60s,115,33.92330383480826,4251,62.597534163900505
Premier League 2025/26 | post_0_to_105m  F=60s,116,34.21828908554572,4233,62.9233921874134
Premier League 2025/26 | post_0_to_105m  F=60s,117,34.51327433628319,4154,63.24316875950708
Premier League 2025/26 | post_0_to_105m  F=60s,118,34.80825958702065,4153,63.56286835120305
Premier League 2025/26 | post_0_to_105m  F=60s,119,35.10324483775811,4128,63.880643432956234
Premier League 2025/26 | post_0_to_105m  F=60s,120,35.39823008849557,4103,64.19649400476662
Premier League 2025/26 | post_0_to_105m  F=60s,121,35.693215339233035,4070,64.50980422345253
Premier League 2025/26 | post_0_to_105m  F=60s,122,35.9882005899705,4041,64.82088201060482
Premier League 2025/26 | post_0_to_105m  F=60s,123,36.283185840707965,4031,65.13118999377998
Premier League 2025/26 | post_0_to_105m  F=60s,124,36.57817109144543,4019,65.44057421218261
Premier League 2025/26 | post_0_to_105m  F=60s,125,36.87315634218289,4002,65.74864976382413
Premier League 2025/26 | post_0_to_105m  F=60s,126,37.16814159292036,3993,66.05603249188627
Premier League 2025/26 | post_0_to_105m  F=60s,127,37.46312684365782,3990,66.36318427875526
Premier League 2025/26 | post_0_to_105m  F=60s,128,37.75811209439528,3901,66.66348481022793
Premier League 2025/26 | post_0_to_105m  F=60s,129,38.05309734513274,3897,66.96347742010974
Premier League 2025/26 | post_0_to_105m  F=60s,130,38.34808259587021,3890,67.26293116720758
Premier League 2025/26 | post_0_to_105m  F=60s,131,38.64306784660767,3869,67.56076832595348
Premier League 2025/26 | post_0_to_105m  F=60s,132,38.93805309734513,3853,67.85737379833598
Premier League 2025/26 | post_0_to_105m  F=60s,133,39.233038348082594,3853,68.15397927071851
Premier League 2025/26 | post_0_to_105m  F=60s,134,39.528023598820056,3845,68.44996889991933
Premier League 2025/26 | post_0_to_105m  F=60s,135,39.823008849557525,3809,68.74318723480253
Premier League 2025/26 | post_0_to_105m  F=60s,136,40.117994100294986,3808,69.03632858928802
Premier League 2025/26 | post_0_to_105m  F=60s,137,40.41297935103245,3783,69.32754543383074
Premier League 2025/26 | post_0_to_105m  F=60s,138,40.70796460176991,3782,69.61868529797573
Premier League 2025/26 | post_0_to_105m  F=60s,139,41.00294985250738,3772,69.9090553581436
Premier League 2025/26 | post_0_to_105m  F=60s,140,41.29793510324484,3765,70.1988865555275
Premier League 2025/26 | post_0_to_105m  F=60s,141,41.5929203539823,3759,70.48825587052512
Premier League 2025/26 | post_0_to_105m  F=60s,142,41.88790560471976,3750,70.77693236194335
Premier League 2025/26 | post_0_to_105m  F=60s,143,42.182890855457224,3741,71.06491602978218
Premier League 2025/26 | post_0_to_105m  F=60s,144,42.47787610619469,3733,71.3522838544393
Premier League 2025/26 | post_0_to_105m  F=60s,145,42.772861356932154,3718,71.63849697313076
Premier League 2025/26 | post_0_to_105m  F=60s,146,43.067846607669615,3668,71.92086107193664
Premier League 2025/26 | post_0_to_105m  F=60s,147,43.36283185840708,3610,72.19876030767526
Premier League 2025/26 | post_0_to_105m  F=60s,148,43.657817109144545,3604,72.4761976610276
Premier League 2025/26 | post_0_to_105m  F=60s,149,43.95280235988201,3593,72.75278823000511
Premier League 2025/26 | post_0_to_105m  F=60s,150,44.24778761061947,3590,73.0291478577895
Premier League 2025/26 | post_0_to_105m  F=60s,151,44.54277286135693,3566,73.3036599560288
Premier League 2025/26 | post_0_to_105m  F=60s,152,44.8377581120944,3527,73.57516981875735
Premier League 2025/26 | post_0_to_105m  F=60s,153,45.13274336283186,3488,73.84367744597516
Premier League 2025/26 | post_0_to_105m  F=60s,154,45.42772861356932,3474,74.111107347625
Premier League 2025/26 | post_0_to_105m  F=60s,155,45.72271386430678,3385,74.37168599387851
Premier League 2025/26 | post_0_to_105m  F=60s,156,46.017699115044245,3358,74.63018616939382
Premier League 2025/26 | post_0_to_105m  F=60s,157,46.31268436578171,3324,74.88606901138694
Premier League 2025/26 | post_0_to_105m  F=60s,158,46.607669616519175,3269,75.13771793150592
Premier League 2025/26 | post_0_to_105m  F=60s,159,46.902654867256636,3248,75.38775026327296
Premier League 2025/26 | post_0_to_105m  F=60s,160,47.1976401179941,3172,75.63193208481393
Premier League 2025/26 | post_0_to_105m  F=60s,161,47.49262536873157,3153,75.87465127879837
Premier League 2025/26 | post_0_to_105m  F=60s,162,47.78761061946903,3138,76.11621576681713
Premier League 2025/26 | post_0_to_105m  F=60s,163,48.08259587020649,3115,76.35600970568855
Premier League 2025/26 | post_0_to_105m  F=60s,164,48.37758112094395,3115,76.59580364455995
Premier League 2025/26 | post_0_to_105m  F=60s,165,48.67256637168141,3087,76.83344213229543
Premier League 2025/26 | post_0_to_105m  F=60s,166,48.96755162241888,3075,77.07015685525838
Premier League 2025/26 | post_0_to_105m  F=60s,167,49.26253687315634,3059,77.30563989185794
Premier League 2025/26 | post_0_to_105m  F=60s,168,49.557522123893804,3056,77.54089198726436
Premier League 2025/26 | post_0_to_105m  F=60s,169,49.852507374631266,3055,77.77606710227307
Premier League 2025/26 | post_0_to_105m  F=60s,170,50.147492625368734,3054,78.01116523688408
Premier League 2025/26 | post_0_to_105m  F=60s,171,50.442477876106196,3050,78.24595544990423
Premier League 2025/26 | post_0_to_105m  F=60s,172,50.73746312684366,3043,78.48020680014041
Premier League 2025/26 | post_0_to_105m  F=60s,173,51.03244837758112,3034,78.71376532679719
Premier League 2025/26 | post_0_to_105m  F=60s,174,51.32743362831859,3028,78.94686197106769
Premier League 2025/26 | post_0_to_105m  F=60s,175,51.62241887905605,3020,79.1793427721565
Premier League 2025/26 | post_0_to_105m  F=60s,176,51.91740412979351,3018,79.41166961244988
Premier League 2025/26 | post_0_to_105m  F=60s,177,52.21238938053097,3011,79.6434575899593
Premier League 2025/26 | post_0_to_105m  F=60s,178,52.50737463126843,3004,79.87470670468471
Premier League 2025/26 | post_0_to_105m  F=60s,179,52.8023598820059,2989,80.10480111344447
Premier League 2025/26 | post_0_to_105m  F=60s,180,53.097345132743364,2982,80.33435665942025
Premier League 2025/26 | post_0_to_105m  F=60s,181,53.392330383480825,2964,80.56252655823721
Premier League 2025/26 | post_0_to_105m  F=60s,182,53.68731563421829,2951,80.78969571188392
Premier League 2025/26 | post_0_to_105m  F=60s,183,53.982300884955755,2937,81.01578713996268
Premier League 2025/26 | post_0_to_105m  F=60s,184,54.27728613569322,2932,81.24149366605288
Premier League 2025/26 | post_0_to_105m  F=60s,185,54.57227138643068,2869,81.46235042708724
Premier League 2025/26 | post_0_to_105m  F=60s,186,54.86725663716814,2838,81.68082079579256
Premier League 2025/26 | post_0_to_105m  F=60s,187,55.1622418879056,2764,81.89359461506722
Premier League 2025/26 | post_0_to_105m  F=60s,188,55.45722713864307,2744,82.10482882638765
Premier League 2025/26 | post_0_to_105m  F=60s,189,55.75221238938053,2712,82.31359966498131
Premier League 2025/26 | post_0_to_105m  F=60s,190,56.04719764011799,2703,82.52167767999556
Premier League 2025/26 | post_0_to_105m  F=60s,191,56.342182890855455,2703,82.72975569500983
Premier League 2025/26 | post_0_to_105m  F=60s,192,56.63716814159292,2698,82.93744880803553
Premier League 2025/26 | post_0_to_105m  F=60s,193,56.932153392330385,2694,83.14483399947038
Premier League 2025/26 | post_0_to_105m  F=60s,194,57.227138643067846,2678,83.35098750454185
Premier League 2025/26 | post_0_to_105m  F=60s,195,57.52212389380531,2671,83.55660214682933
Premier League 2025/26 | post_0_to_105m  F=60s,196,57.817109144542776,2670,83.76213980871911
Premier League 2025/26 | post_0_to_105m  F=60s,197,58.11209439528024,2635,83.96498315668899
Premier League 2025/26 | post_0_to_105m  F=60s,198,58.4070796460177,2627,84.16721066147716
Premier League 2025/26 | post_0_to_105m  F=60s,199,58.70206489675516,2620,84.36889930348136
Premier League 2025/26 | post_0_to_105m  F=60s,200,58.99705014749262,2617,84.57035700429243
Premier League 2025/26 | post_0_to_105m  F=60s,201,59.29203539823009,2603,84.77073697953553
Premier League 2025/26 | post_0_to_105m  F=60s,202,59.58702064896755,2603,84.97111695477864
Premier League 2025/26 | post_0_to_105m  F=60s,203,59.882005899705014,2585,85.17011128286293
Premier League 2025/26 | post_0_to_105m  F=60s,204,60.176991150442475,2511,85.36340906151658
Premier League 2025/26 | post_0_to_105m  F=60s,205,60.471976401179944,2505,85.55624495778395
Premier League 2025/26 | post_0_to_105m  F=60s,206,60.766961651917406,2478,85.74700238331312
Premier League 2025/26 | post_0_to_105m  F=60s,207,61.06194690265487,2476,85.93760584804686
Premier League 2025/26 | post_0_to_105m  F=60s,208,61.35693215339233,2417,86.12366746931562
Premier League 2025/26 | post_0_to_105m  F=60s,209,61.65191740412979,2407,86.30895928660726
Premier League 2025/26 | post_0_to_105m  F=60s,210,61.94690265486726,2401,86.49378922151263
Premier League 2025/26 | post_0_to_105m  F=60s,211,62.24188790560472,2382,86.67715652886149
