cell,outcome_sel,route,direction,n,pos_pct,mean_net_c,open_pct_of_fresh
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,maker/taker,K YES + PM NO,442613.0,11.361618388976375,-1.4792576653936522,14.374122827860413
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,maker/taker,PM YES + K NO,202382.0,21.661017284145824,-0.9377019945072423,22.309236775494444
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,taker/maker,K YES + PM NO,202382.0,19.599075016552856,-1.1729278510323808,18.32802780042044
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,taker/maker,PM YES + K NO,442613.0,19.865435493309054,-0.8984224193304731,22.346813667252768
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,taker/taker,K YES + PM NO,403218.0,1.7112331294733867,-3.60728297105791,1.8740646542875194
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,taker/taker,PM YES + K NO,221864.0,3.799624995492734,-3.0940669232711384,2.763432324991725
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,maker/maker,K YES + PM NO,575790.0,68.58906893138123,0.4366292113522759,68.83324760002405
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,maker/maker,PM YES + K NO,752325.0,80.65782740172133,0.7182884034326994,80.41690356789216
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,maker/taker,K YES + PM NO,918946.0,5.2351280706374475,-1.3929080045546305,5.237875336083574
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,maker/taker,PM YES + K NO,487702.0,9.533075525628355,-1.0653896089315076,9.043160682237477
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,taker/maker,K YES + PM NO,487702.0,19.086040245887858,-1.015413767413059,18.76341319544673
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,taker/maker,PM YES + K NO,918946.0,20.228827373969743,-0.8006423191096531,20.580116166902695
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,taker/taker,K YES + PM NO,752325.0,0.6109061908084936,-2.873226049396894,0.6286134091417255
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,taker/taker,PM YES + K NO,575790.0,0.9041490821306379,-2.6111469149421307,0.7733367181289206
World Cup 2026/27 | pre_last_hour  F=10s,team_win,maker/maker,K YES + PM NO,172668.0,58.996455625825284,0.2539254075608227,62.662109725767216
World Cup 2026/27 | pre_last_hour  F=10s,team_win,maker/maker,PM YES + K NO,319588.0,88.65320349950561,0.8531407045159134,87.56121612800177
World Cup 2026/27 | pre_last_hour  F=10s,team_win,maker/taker,K YES + PM NO,549402.0,1.9579470041972908,-1.6036182033553807,2.1252578968161893
World Cup 2026/27 | pre_last_hour  F=10s,team_win,maker/taker,PM YES + K NO,77672.0,9.000669481923987,-1.1149589793398074,9.127723444282987
World Cup 2026/27 | pre_last_hour  F=10s,team_win,taker/maker,K YES + PM NO,77672.0,4.143063137295293,-1.5296981833443004,4.6754642894560625
World Cup 2026/27 | pre_last_hour  F=10s,team_win,taker/maker,PM YES + K NO,549402.0,13.203992704795395,-0.8908915803913119,12.701535779459812
World Cup 2026/27 | pre_last_hour  F=10s,team_win,taker/taker,K YES + PM NO,319588.0,0.03629673204250473,-3.39111269761328,0.04166724537840803
World Cup 2026/27 | pre_last_hour  F=10s,team_win,taker/taker,PM YES + K NO,172668.0,0.0,-2.9198889459697903,0.0
Premier League 2025/26 | post_0_to_105m  F=60s,draw,maker/maker,K YES + PM NO,82256.0,76.51356739933865,1.3995176209249443,81.28568761538621
Premier League 2025/26 | post_0_to_105m  F=60s,draw,maker/maker,PM YES + K NO,168033.0,75.41911410258699,1.0849954437648737,75.53253263801233
Premier League 2025/26 | post_0_to_105m  F=60s,draw,maker/taker,K YES + PM NO,209652.0,13.713677904336711,-1.3905234112463984,14.85777986505842
Premier League 2025/26 | post_0_to_105m  F=60s,draw,maker/taker,PM YES + K NO,71358.0,16.152358530227865,-1.5285715816036107,13.134826633128604
Premier League 2025/26 | post_0_to_105m  F=60s,draw,taker/maker,K YES + PM NO,71358.0,25.331427450320916,-0.8210877647906257,22.18796350101816
Premier League 2025/26 | post_0_to_105m  F=60s,draw,taker/maker,PM YES + K NO,209652.0,11.789536946940645,-1.1966669237849863,9.74256810170925
Premier League 2025/26 | post_0_to_105m  F=60s,draw,taker/taker,K YES + PM NO,168033.0,2.219802062690067,-3.6064990789436777,1.8523459236955444
Premier League 2025/26 | post_0_to_105m  F=60s,draw,taker/taker,PM YES + K NO,82256.0,3.1876094145107956,-3.8703147987599937,1.9569501393277695
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,maker/maker,K YES + PM NO,47446.0,82.320954348101,1.6670537610793674,84.71194683269637
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,maker/maker,PM YES + K NO,95645.0,74.33634795336923,0.9066679658988271,75.51678664327626
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,maker/taker,K YES + PM NO,114643.0,16.110011077867817,-1.094934019502649,20.521390988145196
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,maker/taker,PM YES + K NO,41531.0,13.563362307673787,-1.5886062730722423,13.070718221344256
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,taker/maker,K YES + PM NO,41531.0,26.92205822156943,-0.558566899497643,24.001394416523837
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,taker/maker,PM YES + K NO,114643.0,9.482480395663059,-1.3117244308170406,10.048576229786686
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,taker/taker,K YES + PM NO,95645.0,2.803073866903654,-3.244440605869553,2.966547698263868
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,taker/taker,PM YES + K NO,47446.0,2.238334106141719,-3.9426948794033545,1.4499430272433365
