cell,outcome,pm_action,k_action,mean_gap_c,le_m2c_pct,ge_p2c_pct,prints
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,sell,all,-1.215024515807119,29.5988533214029,3.0821227972342315,471623
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,all,buy,-0.8257163270237109,19.084493429954357,2.8873881159294514,506998
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,all,sell,0.5855467312912441,6.4328813452729925,14.238147978631599,286217
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,all,all,-0.4686591372039984,15.319640777739002,5.517738240446713,578806
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,buy,buy,-0.2754692585014558,4.439542693477092,0.7840504229845933,918946
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,buy,sell,0.7161160901977943,0.9539936435158651,5.979610621928133,575790
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,buy,all,-0.07572968663936232,2.892044881916216,1.3863926495783923,952544
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,sell,buy,-0.9968229632986286,21.456285514903797,0.40089057255840227,752325
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,sell,sell,0.0066863490797832055,3.8367691746189267,2.325190382651701,487702
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,sell,all,-0.7524302820785751,12.589780785774579,0.547530112260732,791372
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,all,buy,-0.5353527343668711,7.275758487513503,0.42803801932533947,1013695
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,all,sell,0.4344416129930247,1.208891239299679,3.295995234339502,658041
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,all,all,-0.3255572702334749,4.668230753221199,0.7405445291657995,1057060
World Cup 2026/27 | pre_last_hour  F=10s,team_win,buy,buy,-0.3330052001584378,2.8438192798715693,0.012013061474111852,549402
World Cup 2026/27 | pre_last_hour  F=10s,team_win,buy,sell,0.5963621969066367,0.12799128964255102,1.9106030069265874,172668
