cell,direction,price_bucket,n,pos_0c,pos_pct
World Cup 2026/27 | post_0_to_105m  F=5s,PM YES + K NO,10-20c,141082.0,106294.0,75.34199968812463
World Cup 2026/27 | post_0_to_105m  F=5s,PM YES + K NO,20-30c,179078.0,127089.0,70.96851651235774
World Cup 2026/27 | post_0_to_105m  F=5s,PM YES + K NO,60-70c,52691.0,41212.0,78.21449583420319
World Cup 2026/27 | post_0_to_105m  F=5s,PM YES + K NO,30-40c,140786.0,99844.0,70.91898342164704
World Cup 2026/27 | post_0_to_105m  F=5s,PM YES + K NO,50-60c,68293.0,51862.0,75.94043313370331
World Cup 2026/27 | post_0_to_105m  F=5s,PM YES + K NO,40-50c,109545.0,81823.0,74.6935049523027
World Cup 2026/27 | pre_last_hour  F=10s,K YES + PM NO,0-10c,10396.0,7926.0,76.24086186994998
World Cup 2026/27 | pre_last_hour  F=10s,K YES + PM NO,90-100c,2903.0,1869.0,64.38167413021013
World Cup 2026/27 | pre_last_hour  F=10s,K YES + PM NO,70-80c,14097.0,8723.0,61.87841384691778
World Cup 2026/27 | pre_last_hour  F=10s,K YES + PM NO,80-90c,12795.0,8148.0,63.68112543962485
World Cup 2026/27 | pre_last_hour  F=10s,K YES + PM NO,10-20c,28039.0,21977.0,78.38011341345982
World Cup 2026/27 | pre_last_hour  F=10s,K YES + PM NO,20-30c,36166.0,27343.0,75.60415860200187
World Cup 2026/27 | pre_last_hour  F=10s,K YES + PM NO,60-70c,29757.0,16143.0,54.24942030446618
World Cup 2026/27 | pre_last_hour  F=10s,K YES + PM NO,30-40c,16106.0,10340.0,64.19967713895443
World Cup 2026/27 | pre_last_hour  F=10s,K YES + PM NO,50-60c,34309.0,18656.0,54.37640269317089
World Cup 2026/27 | pre_last_hour  F=10s,K YES + PM NO,40-50c,18403.0,6014.0,32.67945443677661
World Cup 2026/27 | pre_last_hour  F=10s,PM YES + K NO,0-10c,36208.0,34017.0,93.94885108263367
World Cup 2026/27 | pre_last_hour  F=10s,PM YES + K NO,90-100c,4443.0,2038.0,45.869907720009
World Cup 2026/27 | pre_last_hour  F=10s,PM YES + K NO,70-80c,24862.0,21009.0,84.50245354356045
World Cup 2026/27 | pre_last_hour  F=10s,PM YES + K NO,80-90c,17055.0,15392.0,90.24919378481384
World Cup 2026/27 | pre_last_hour  F=10s,PM YES + K NO,10-20c,64859.0,58280.0,89.85645785473103
World Cup 2026/27 | pre_last_hour  F=10s,PM YES + K NO,20-30c,77940.0,62215.0,79.8242237618681
World Cup 2026/27 | pre_last_hour  F=10s,PM YES + K NO,60-70c,42087.0,38373.0,91.17542233943973
World Cup 2026/27 | pre_last_hour  F=10s,PM YES + K NO,30-40c,38619.0,29605.0,76.65915740956524
World Cup 2026/27 | pre_last_hour  F=10s,PM YES + K NO,50-60c,54359.0,48068.0,88.42693942125499
World Cup 2026/27 | pre_last_hour  F=10s,PM YES + K NO,40-50c,31341.0,27889.0,88.9856737181328
Premier League 2025/26 | post_0_to_105m  F=60s,Pooled,0-10c,144650.0,117876.0,81.49049429657795
