cell,outcome,gap_bucket,weighting,share_pct,prints
Premier League 2025/26 | post_0_to_105m  F=60s,team_win,"(−4,−3]",per print,2.8522912884106435,1020583
Premier League 2025/26 | post_0_to_105m  F=60s,team_win,"(−3,−2]",per print,10.340364281983925,1020583
Premier League 2025/26 | post_0_to_105m  F=60s,team_win,"(−2,−1]",per print,26.49710998517514,1020583
Premier League 2025/26 | post_0_to_105m  F=60s,team_win,"(−1,1)",per print,43.70002243815544,1020583
Premier League 2025/26 | post_0_to_105m  F=60s,team_win,"[1,2)",per print,8.900598971372245,1020583
Premier League 2025/26 | post_0_to_105m  F=60s,team_win,"[2,3)",per print,2.4575169290493766,1020583
Premier League 2025/26 | post_0_to_105m  F=60s,team_win,"[3,4)",per print,0.8160041858427977,1020583
Premier League 2025/26 | post_0_to_105m  F=60s,team_win,≥4,per print,1.3231652888594068,1020583
Premier League 2025/26 | post_0_to_105m  F=60s,team_win,≤−4,per second,2.7786920216980557,1020583
Premier League 2025/26 | post_0_to_105m  F=60s,team_win,"(−4,−3]",per second,2.7311513378436034,1020583
Premier League 2025/26 | post_0_to_105m  F=60s,team_win,"(−3,−2]",per second,10.083777988330922,1020583
Premier League 2025/26 | post_0_to_105m  F=60s,team_win,"(−2,−1]",per second,26.370894906276146,1020583
Premier League 2025/26 | post_0_to_105m  F=60s,team_win,"(−1,1)",per second,44.71555932334868,1020583
Premier League 2025/26 | post_0_to_105m  F=60s,team_win,"[1,2)",per second,9.083539730824427,1020583
Premier League 2025/26 | post_0_to_105m  F=60s,team_win,"[2,3)",per second,2.439230483662738,1020583
Premier League 2025/26 | post_0_to_105m  F=60s,team_win,"[3,4)",per second,0.768712910786416,1020583
Premier League 2025/26 | post_0_to_105m  F=60s,team_win,≥4,per second,1.0284412972290098,1020583
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,≤−4,per print,3.616583103837901,578806
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,"(−4,−3]",per print,2.6542572122611032,578806
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,"(−3,−2]",per print,9.048800461639997,578806
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,"(−2,−1]",per print,23.95604053862607,578806
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,"(−1,1)",per print,45.88981454926176,578806
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,"[1,2)",per print,9.316765893926462,578806
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,"[2,3)",per print,2.8118229596790636,578806
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,"[3,4)",per print,1.0030994841103928,578806
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,≥4,per print,1.7028157966572566,578806
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,≤−4,per second,3.6040488130368384,578806
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,"(−4,−3]",per second,2.840787252269266,578806
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,"(−3,−2]",per second,9.084739231665994,578806
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,"(−2,−1]",per second,22.70001055852416,578806
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,"(−1,1)",per second,45.45912708217906,578806
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,"[1,2)",per second,10.165191920225451,578806
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,"[2,3)",per second,3.3338267901324605,578806
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,"[3,4)",per second,1.1309050179113933,578806
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,team_win,≥4,per second,1.6813633340553766,578806
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,≤−4,per print,0.20604317635706582,1057060
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,"(−4,−3]",per print,0.43147976463020077,1057060
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,"(−3,−2]",per print,4.030707812233932,1057060
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,"(−2,−1]",per print,19.992810247289654,1057060
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,"(−1,1)",per print,69.50693432728511,1057060
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,"[1,2)",per print,5.091480143038238,1057060
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,"[2,3)",per print,0.4888085822942879,1057060
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,"[3,4)",per print,0.08996651088869127,1057060
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,≥4,per print,0.1617694359828203,1057060
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,≤−4,per second,0.1958242053024545,1057060
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,"(−4,−3]",per second,0.41749005230920555,1057060
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,"(−3,−2]",per second,3.9618187508382885,1057060
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,"(−2,−1]",per second,19.7671569723253,1057060
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,"(−1,1)",per second,69.8736531497295,1057060
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,"[1,2)",per second,5.065587696159521,1057060
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,"[2,3)",per second,0.47909867215093666,1057060
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,"[3,4)",per second,0.08548307774846872,1057060
World Cup 2026/27 | post_0_to_105m  F=5s,team_win,≥4,per second,0.15388742343631243,1057060
World Cup 2026/27 | pre_last_hour  F=10s,team_win,≤−4,per print,0.0,582525
World Cup 2026/27 | pre_last_hour  F=10s,team_win,"(−4,−3]",per print,0.17956310887944724,582525
World Cup 2026/27 | pre_last_hour  F=10s,team_win,"(−3,−2]",per print,4.482211063902837,582525
World Cup 2026/27 | pre_last_hour  F=10s,team_win,"(−2,−1]",per print,30.51611518818935,582525
World Cup 2026/27 | pre_last_hour  F=10s,team_win,"(−1,1)",per print,62.631475043989525,582525
World Cup 2026/27 | pre_last_hour  F=10s,team_win,"[1,2)",per print,2.1557873052658683,582525
World Cup 2026/27 | pre_last_hour  F=10s,team_win,"[2,3)",per print,0.034848289772971115,582525
World Cup 2026/27 | pre_last_hour  F=10s,team_win,"[3,4)",per print,0.0,582525
World Cup 2026/27 | pre_last_hour  F=10s,team_win,≥4,per print,0.0,582525
World Cup 2026/27 | pre_last_hour  F=10s,team_win,≤−4,per second,0.0,582525
World Cup 2026/27 | pre_last_hour  F=10s,team_win,"(−4,−3]",per second,0.16494146806822335,582525
World Cup 2026/27 | pre_last_hour  F=10s,team_win,"(−3,−2]",per second,4.201995345975874,582525
World Cup 2026/27 | pre_last_hour  F=10s,team_win,"(−2,−1]",per second,29.558699845163055,582525
World Cup 2026/27 | pre_last_hour  F=10s,team_win,"(−1,1)",per second,63.72892538404615,582525
World Cup 2026/27 | pre_last_hour  F=10s,team_win,"[1,2)",per second,2.30472267543977,582525
World Cup 2026/27 | pre_last_hour  F=10s,team_win,"[2,3)",per second,0.04071528130693081,582525
World Cup 2026/27 | pre_last_hour  F=10s,team_win,"[3,4)",per second,0.0,582525
World Cup 2026/27 | pre_last_hour  F=10s,team_win,≥4,per second,0.0,582525
Premier League 2025/26 | post_0_to_105m  F=60s,draw,≤−4,per print,2.985757150445155,284283
Premier League 2025/26 | post_0_to_105m  F=60s,draw,"(−4,−3]",per print,2.3237407794345777,284283
Premier League 2025/26 | post_0_to_105m  F=60s,draw,"(−3,−2]",per print,8.058870913842895,284283
Premier League 2025/26 | post_0_to_105m  F=60s,draw,"(−2,−1]",per print,22.639060372938236,284283
Premier League 2025/26 | post_0_to_105m  F=60s,draw,"(−1,1)",per print,45.3055581937717,284283
Premier League 2025/26 | post_0_to_105m  F=60s,draw,"[1,2)",per print,11.629960286052983,284283
Premier League 2025/26 | post_0_to_105m  F=60s,draw,"[2,3)",per print,3.553501264584938,284283
Premier League 2025/26 | post_0_to_105m  F=60s,draw,"[3,4)",per print,1.2603637924181186,284283
Premier League 2025/26 | post_0_to_105m  F=60s,draw,≥4,per print,2.2431872465113987,284283
Premier League 2025/26 | post_0_to_105m  F=60s,draw,≤−4,per second,2.2073968004987568,284283
Premier League 2025/26 | post_0_to_105m  F=60s,draw,"(−4,−3]",per second,1.6804569658684756,284283
Premier League 2025/26 | post_0_to_105m  F=60s,draw,"(−3,−2]",per second,7.027145514819649,284283
Premier League 2025/26 | post_0_to_105m  F=60s,draw,"(−2,−1]",per second,22.12015708557577,284283
Premier League 2025/26 | post_0_to_105m  F=60s,draw,"(−1,1)",per second,47.933803717046686,284283
Premier League 2025/26 | post_0_to_105m  F=60s,draw,"[1,2)",per second,12.506707736279566,284283
Premier League 2025/26 | post_0_to_105m  F=60s,draw,"[2,3)",per second,3.74231190226419,284283
Premier League 2025/26 | post_0_to_105m  F=60s,draw,"[3,4)",per second,1.142058823110767,284283
Premier League 2025/26 | post_0_to_105m  F=60s,draw,≥4,per second,1.6399614545361378,284283
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,≤−4,per print,2.3947248928987426,151959
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,"(−4,−3]",per print,1.7721885508591133,151959
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,"(−3,−2]",per print,6.554399541981719,151959
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,"(−2,−1]",per print,21.22085562553057,151959
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,"(−1,1)",per print,47.48780921169526,151959
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,"[1,2)",per print,11.799235320053436,151959
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,"[2,3)",per print,4.211004284050303,151959
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,"[3,4)",per print,1.724149277107641,151959
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,≥4,per print,2.8356332958232153,151959
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,≤−4,per second,2.3568894045380544,151959
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,"(−4,−3]",per second,1.7255440218378106,151959
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,"(−3,−2]",per second,6.437784090034806,151959
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,"(−2,−1]",per second,20.07610612388095,151959
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,"(−1,1)",per second,45.99373424714025,151959
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,"[1,2)",per second,13.264869622485312,151959
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,"[2,3)",per second,5.469454454808719,151959
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,"[3,4)",per second,2.0051332395727224,151959
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,≥4,per second,2.6704847957013733,151959
World Cup 2026/27 | post_0_to_105m  F=5s,draw,≤−4,per print,0.11098823685251008,498251
World Cup 2026/27 | post_0_to_105m  F=5s,draw,"(−4,−3]",per print,0.08790750043652697,498251
World Cup 2026/27 | post_0_to_105m  F=5s,draw,"(−3,−2]",per print,1.1973884648500455,498251
World Cup 2026/27 | post_0_to_105m  F=5s,draw,"(−2,−1]",per print,13.021750081786088,498251
World Cup 2026/27 | post_0_to_105m  F=5s,draw,"(−1,1)",per print,74.0411961039717,498251
World Cup 2026/27 | post_0_to_105m  F=5s,draw,"[1,2)",per print,10.144686112019846,498251
World Cup 2026/27 | post_0_to_105m  F=5s,draw,"[2,3)",per print,1.0958332246197198,498251
World Cup 2026/27 | post_0_to_105m  F=5s,draw,"[3,4)",per print,0.11179104507567471,498251
World Cup 2026/27 | post_0_to_105m  F=5s,draw,≥4,per print,0.18845923038789686,498251
World Cup 2026/27 | post_0_to_105m  F=5s,draw,≤−4,per second,0.10778568034398699,498251
World Cup 2026/27 | post_0_to_105m  F=5s,draw,"(−4,−3]",per second,0.08769659296804676,498251
World Cup 2026/27 | post_0_to_105m  F=5s,draw,"(−3,−2]",per second,1.177529583112804,498251
World Cup 2026/27 | post_0_to_105m  F=5s,draw,"(−2,−1]",per second,12.993196753294416,498251
World Cup 2026/27 | post_0_to_105m  F=5s,draw,"(−1,1)",per second,74.28577499449482,498251
World Cup 2026/27 | post_0_to_105m  F=5s,draw,"[1,2)",per second,9.990844012099812,498251
World Cup 2026/27 | post_0_to_105m  F=5s,draw,"[2,3)",per second,1.0672327668468247,498251
World Cup 2026/27 | post_0_to_105m  F=5s,draw,"[3,4)",per second,0.10933099475752085,498251
World Cup 2026/27 | post_0_to_105m  F=5s,draw,≥4,per second,0.1806086220817703,498251
World Cup 2026/27 | pre_last_hour  F=10s,draw,≤−4,per print,0.0,208414
World Cup 2026/27 | pre_last_hour  F=10s,draw,"(−4,−3]",per print,0.32915255213181455,208414
World Cup 2026/27 | pre_last_hour  F=10s,draw,"(−3,−2]",per print,2.1126219927644017,208414
World Cup 2026/27 | pre_last_hour  F=10s,draw,"(−2,−1]",per print,17.905706910284337,208414
World Cup 2026/27 | pre_last_hour  F=10s,draw,"(−1,1)",per print,74.71714951970597,208414
World Cup 2026/27 | pre_last_hour  F=10s,draw,"[1,2)",per print,4.727609469613366,208414
World Cup 2026/27 | pre_last_hour  F=10s,draw,"[2,3)",per print,0.20488067020449682,208414
World Cup 2026/27 | pre_last_hour  F=10s,draw,"[3,4)",per print,0.0028788852956135383,208414
World Cup 2026/27 | pre_last_hour  F=10s,draw,≥4,per print,0.0,208414
World Cup 2026/27 | pre_last_hour  F=10s,draw,≤−4,per second,0.0,208414
World Cup 2026/27 | pre_last_hour  F=10s,draw,"(−4,−3]",per second,0.2883110075300885,208414
World Cup 2026/27 | pre_last_hour  F=10s,draw,"(−3,−2]",per second,2.0288027655188534,208414
World Cup 2026/27 | pre_last_hour  F=10s,draw,"(−2,−1]",per second,17.737856581212323,208414
World Cup 2026/27 | pre_last_hour  F=10s,draw,"(−1,1)",per second,74.84256235522466,208414
World Cup 2026/27 | pre_last_hour  F=10s,draw,"[1,2)",per second,4.852408849093627,208414
World Cup 2026/27 | pre_last_hour  F=10s,draw,"[2,3)",per second,0.24793329885879845,208414
World Cup 2026/27 | pre_last_hour  F=10s,draw,"[3,4)",per second,0.0021251425616468436,208414
World Cup 2026/27 | pre_last_hour  F=10s,draw,≥4,per second,0.0,208414
