cell,source,horizon,triggers,eligible,followed,follow_pct
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,50,1037870,1018655.0,936361.0,91.92130799927355
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,51,1037870,1018257.0,937965.0,92.1147608118579
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,52,1037870,1017862.0,939509.0,92.30219813687907
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,53,1037870,1017487.0,941001.0,92.48285236076727
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,54,1037870,1017111.0,942385.0,92.65311259046456
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,55,1037870,1016705.0,943644.0,92.81394308083466
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,56,1037870,1016350.0,944937.0,92.97358193535692
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,57,1037870,1015978.0,946132.0,93.12524483797877
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,58,1037870,1015603.0,947325.0,93.27709744851089
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,59,1037870,1015229.0,948369.0,93.41429372092405
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,60,1037870,1014850.0,949407.0,93.55146080701581
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,1,481261,481056.0,142504.0,29.6231623761059
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,2,481261,480945.0,220120.0,45.76822713615902
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,3,481261,480730.0,270974.0,56.36719156283153
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,4,481261,480622.0,306833.0,63.84081461106649
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,5,481261,480426.0,333449.0,69.40694300474995
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,6,481261,480315.0,354041.0,73.71016936801891
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,7,481261,480124.0,370191.0,77.10320667160984
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,8,481261,480002.0,383304.0,79.8546672722197
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,9,481261,479784.0,393995.0,82.11924532706385
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,10,481261,479663.0,402880.0,83.99230292934831
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,11,481261,479454.0,410351.0,85.58714704643198
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,12,481261,479346.0,416941.0,86.9812202459184
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,13,481261,479130.0,422302.0,88.13933587961513
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,14,481261,479016.0,427094.0,89.16069609365867
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,15,481261,478791.0,431150.0,90.04972942264996
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,16,481261,478682.0,434846.0,90.84235463209396
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,17,481261,478493.0,438054.0,91.5486746932557
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,18,481261,478360.0,440901.0,92.16928672965967
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,19,481261,478137.0,443338.0,92.72196044230002
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,20,481261,478011.0,445628.0,93.22546970676407
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,21,481261,477828.0,447557.0,93.66487522706916
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,22,481261,477687.0,449380.0,94.07415315886763
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,23,481261,477509.0,451016.0,94.45183232148504
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,24,481261,477389.0,452454.0,94.77679628143925
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,25,481261,477190.0,453716.0,95.08078543137954
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,26,481261,477067.0,454912.0,95.35599821408734
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,27,481261,476838.0,455934.0,95.61612119839442
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,28,481261,476711.0,456924.0,95.84926716606078
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,29,481261,476497.0,457754.0,96.06650199266733
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,30,481261,476376.0,458630.0,96.27479134129344
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,31,481261,476166.0,459349.0,96.46824846797125
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,32,481261,476046.0,460088.0,96.64780294341303
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,33,481261,475846.0,460664.0,96.80947197202457
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,34,481261,475729.0,461281.0,96.96297682083707
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,35,481261,475522.0,461740.0,97.10171138243867
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,36,481261,475391.0,462220.0,97.22943850430488
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,37,481261,475180.0,462550.0,97.34205985100382
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,38,481261,475070.0,462952.0,97.44921800997747
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,39,481261,474866.0,463241.0,97.5519409686101
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,40,481261,474741.0,463563.0,97.64545299436956
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,41,481261,474532.0,463811.0,97.74072138443772
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,42,481261,474416.0,464102.0,97.82595865232202
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,43,481261,474205.0,464279.0,97.90681245452916
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,44,481261,474081.0,464549.0,97.98937312400201
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,45,481261,473851.0,464664.0,98.06120489352138
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,46,481261,473728.0,464895.0,98.13542792488516
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,47,481261,473523.0,465017.0,98.2036775404785
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,48,481261,473385.0,465178.0,98.26631600071823
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,49,481261,473182.0,465266.0,98.32707076769616
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,50,481261,473057.0,465419.0,98.38539541746555
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,51,481261,472848.0,465465.0,98.43861029337123
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,52,481261,472734.0,465588.0,98.48836766553707
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,53,481261,472527.0,465628.0,98.53997760974505
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,54,481261,472429.0,465746.0,98.58539590075969
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,55,481261,472201.0,465732.0,98.63003254969811
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,56,481261,472086.0,465795.0,98.66740382049034
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,57,481261,471860.0,465773.0,98.7099987284364
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,58,481261,471755.0,465847.0,98.74765503280304
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,59,481261,471529.0,465801.0,98.7852284801147
Premier League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,60,481261,471414.0,465850.0,98.81972109440959
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,1,619607,619423.0,104510.0,16.872153601012556
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,2,619607,619228.0,207119.0,33.447938400718314
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,3,619607,619035.0,255442.0,41.26454885426511
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,4,619607,618840.0,302902.0,48.94673906017711
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,5,619607,618651.0,331294.0,53.55103281171452
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,6,619607,618445.0,359634.0,58.15133116121886
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,7,619607,618242.0,379088.0,61.317089424529556
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,8,619607,618048.0,397957.0,64.3893354561458
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,9,619607,617862.0,411995.0,66.68074748082906
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,10,619607,617674.0,425786.0,68.93377412680475
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,11,619607,617482.0,436406.0,70.6750966020062
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,12,619607,617286.0,446973.0,72.40938560083981
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,13,619607,617083.0,455474.0,73.81081637316213
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,14,619607,616901.0,463985.0,75.21223016334874
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,15,619607,616685.0,470994.0,76.37513479328993
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,16,619607,616479.0,477927.0,77.52526850063019
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,17,619607,616288.0,483796.0,78.50160963705281
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,18,619607,616102.0,489614.0,79.46963327500966
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,19,619607,615914.0,494569.0,80.29838581360384
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,20,619607,615716.0,499485.0,81.12262796484093
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,21,619607,615526.0,503721.0,81.83586071100164
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,22,619607,615331.0,507883.0,82.5381786388139
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,23,619607,615121.0,511551.0,83.1626623054651
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,24,619607,614929.0,515154.0,83.77454958214688
